"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";214.166;669.869;272.715;168.104;180.814;54.798;1560.466
"Integrierte Psychiatrie Winterthur - ZU";85.594;237.843;114.902;82.112;55.552;17.04;593.043
"Clienia Privatklinik Schlössli";59.486;196.046;80.7;45.216;78.362;10.844;470.654
"Sanatorium Kilchberg";48.758;111.64;54.106;42.256;60.746;4.8;322.306
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";408.004;1215.398;522.423;337.688;375.474;87.482;2946.469
"Modellstation SOMOSA";1.52;7.5;20.166;3.42;1.8;0.6;35.006
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";1.52;7.5;20.166;3.42;1.8;0.6;35.006
"Forel Klinik";13.03;19.632;37.258;17.42;26.45;3.91;117.7
"Suchtfachklinik Zürich";2.15;16.97;4.61;7.34;3.2;0.98;35.25
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";15.18;36.602;41.868;24.76;29.65;4.89;152.95
"Privatklinik Hohenegg";16.01;36.702;14.05;18.78;40.46;3.01;129.012
"Total Kanton Zürich";440.714;1296.202;598.507;384.648;447.384;95.982;3263.437
"Clienia Privatklinik Littenheid";56.164;182.413;71.885;41.574;70.43;11.22;433.686
"Klinik Meissenberg";13.65;40.383;16.521;9.74;23.448;3.92;107.662
"Klinik Sonnenhof";4.16;58.95;16.145;5.1;8.03;1.8;94.185
