"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";5;11;4;11;0;1;10;5;2;8;9;2;13;1;0;13;5;34;10;4;3;5;0;2;1;159;4387;67;4613
"Psychiatrische Universitätsklinik Zürich - Forensik";3;1;0;1;0;0;0;0;0;2;1;1;1;0;0;3;0;2;0;0;0;1;0;0;0;16;36;2;54
"Integrierte Psychiatrie Winterthur - ZU";4;5;0;1;1;3;1;7;0;1;0;4;18;4;0;14;4;13;24;5;0;1;0;0;0;110;3090;31;3231
"Clienia Privatklinik Schlössli";2;7;0;6;1;0;5;9;0;4;1;4;7;1;0;25;6;30;9;1;0;0;0;1;0;119;2374;15;2508
"Sanatorium Kilchberg";7;28;1;36;3;1;0;22;2;6;4;3;9;0;2;18;10;70;7;8;1;2;0;0;0;240;1985;33;2258
"Psychiatriestützpunkt Spital Affoltern";3;4;0;4;1;2;0;2;0;2;2;0;3;1;0;4;0;14;0;0;0;0;0;0;0;42;275;1;318
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";24;56;5;59;6;7;16;45;4;23;17;14;51;7;2;77;25;163;50;18;4;9;0;3;1;686;12147;149;12982
"Psychiatrische Universitätsklinik Zürich - KJPP";0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;0;9;328;2;339
"Modellstation SOMOSA";0;2;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;13;21;0;34
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;14;40;2;56
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;28;0;30
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;3;0;6;0;0;1;2;0;1;0;1;2;0;0;2;0;16;4;0;0;0;0;0;0;38;417;4;459
"Forel Klinik";4;5;0;8;1;1;4;7;0;2;9;8;24;6;0;18;8;19;50;2;0;3;0;0;0;179;444;5;628
"Suchtfachklinik Zürich";1;0;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;5;1;0;0;0;0;0;0;12;128;0;140
"USZ - Zentrum für Essstörungen";1;8;1;0;0;1;0;2;0;0;0;0;0;1;0;2;0;4;0;2;0;0;0;0;0;22;33;0;55
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";6;13;1;9;1;2;4;9;0;5;10;8;24;7;0;20;8;28;51;4;0;3;0;0;0;213;605;5;823
"Privatklinik Hohenegg";13;22;2;28;3;3;4;12;1;8;7;6;9;3;4;21;10;49;13;2;2;0;0;1;0;223;260;17;500
"Total Kanton Zürich";43;94;8;102;10;12;25;68;5;37;34;29;86;17;6;120;43;256;118;24;6;12;0;4;1;1160;13429;175;14764
"Clienia Privatklinik Littenheid";52;93;35;244;2;6;14;128;1;25;21;15;61;53;7;264;58;83;770;1;1;10;0;0;0;1944;355;35;2334
"Spitäler Schaffhausen";1;2;0;0;0;0;0;2;0;0;0;0;573;0;0;0;2;3;11;0;1;1;0;0;0;596;168;20;784
"Klinik Meissenberg";16;128;6;19;3;8;9;52;7;15;2;4;3;0;0;6;2;92;3;1;0;0;0;0;0;376;164;6;546
"Klinik Sonnenhof";0;0;0;1;0;0;0;0;0;0;0;1;4;13;1;159;1;0;1;0;0;0;0;0;0;181;41;1;223
