"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";3033;572;451;330;160;67;4613
"Psychiatrische Universitätsklinik Zürich - Forensik";14;10;8;4;16;2;54
"Integrierte Psychiatrie Winterthur - ZU";245;2526;223;85;99;53;3231
"Clienia Privatklinik Schlössli";305;272;1719;78;119;15;2508
"Sanatorium Kilchberg";663;229;239;854;240;33;2258
"Psychiatriestützpunkt Spital Affoltern";69;21;35;150;42;1;318
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4329;3630;2675;1501;676;171;12982
"Psychiatrische Universitätsklinik Zürich - KJPP";118;84;77;49;9;2;339
"Modellstation SOMOSA";7;6;5;3;13;0;34
"Kispi Zürich - Psychosomatik und Psychiatrie";18;9;8;5;14;2;56
"KSW - Sozialpädiatrisches Zentrum";2;25;1;0;2;0;30
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";145;124;91;57;38;4;459
"Forel Klinik";159;157;79;49;179;5;628
"Suchtfachklinik Zürich";64;38;10;15;13;0;140
"USZ - Zentrum für Essstörungen";20;6;3;4;22;0;55
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";243;201;92;68;214;5;823
"Privatklinik Hohenegg";109;57;60;34;223;17;500
"Total Kanton Zürich";4826;4012;2918;1660;1151;197;14764
"Clienia Privatklinik Littenheid";0;0;0;0;0;2334;2334
"Spitäler Schaffhausen";0;0;0;0;0;784;784
"Klinik Meissenberg";0;0;0;0;0;546;546
"Klinik Sonnenhof";0;0;0;0;0;223;223
