"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";582.213698630137;527.320547945205;537;1.83559167047675
"Integrierte Psychiatrie Winterthur - ZU";226;226;231;2.21238938053097
"Clienia Privatklinik Schlössli";219;219;224.383561643836;2.45824732595232
"Sanatorium Kilchberg";184;184;184;0
"Psychiatriestützpunkt Spital Affoltern";23;23;25;8.69565217391304
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";1234.21369863014;1179.32054794521;1201.38356164384;1.87082415693272
"Modellstation SOMOSA";17;17;17;0
"Kispi Zürich - Psychosomatik und Psychiatrie";13;13;13;0
"KSW - Sozialpädiatrisches Zentrum";6;6;6;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";36;36;36;0
"Forel Klinik";101;101;101;0
"Suchtfachklinik Zürich";12;12;12.9917808219178;8.26484018264841
"USZ - Zentrum für Essstörungen";12;12;12;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";125;125;125.991780821918;0.793424657534247
"Privatklinik Hohenegg";70;70;70;0
"Total Kanton Zürich";1465.21369863014;1410.32054794521;1433.37534246575;1.63472017437016
"Clienia Privatklinik Littenheid";233;233;;0
"Spitäler Schaffhausen";62.1698630136986;62;;-0.273224043715847
"Klinik Meissenberg";74;74;;0
"Klinik Sonnenhof";39;40;;2.56410256410255
