"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";291;827;321;1032;1273;494;11;312;13;15;22;0;2;4613
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;1;7;0;0;0;0;0;0;0;46;0;54
"Integrierte Psychiatrie Winterthur - ZU";257;333;131;572;1017;571;7;262;11;27;42;0;1;3231
"Clienia Privatklinik Schlössli";186;295;176;382;1058;169;1;207;19;5;7;0;3;2508
"Sanatorium Kilchberg";204;206;155;323;911;331;9;101;8;3;6;0;1;2258
"Psychiatriestützpunkt Spital Affoltern";0;47;12;61;118;34;31;13;1;1;0;0;0;318
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";938;1708;796;2377;4377;1599;59;895;52;51;77;46;7;12982
"Psychiatrische Universitätsklinik Zürich - KJPP";0;1;0;17;120;64;10;19;1;11;96;0;0;339
"Modellstation SOMOSA";0;0;0;4;8;6;0;6;0;1;9;0;0;34
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;7;19;30;0;0;0;0;0;0;56
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;1;6;12;0;0;0;11;0;0;30
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;1;0;21;136;95;52;25;1;12;116;0;0;459
"Forel Klinik";0;598;30;0;0;0;0;0;0;0;0;0;0;628
"Suchtfachklinik Zürich";0;0;140;0;0;0;0;0;0;0;0;0;0;140
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;55;0;0;0;0;0;0;55
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;598;170;0;0;0;55;0;0;0;0;0;0;823
"Privatklinik Hohenegg";1;1;0;9;384;98;2;2;0;0;3;0;0;500
"Total Kanton Zürich";939;2308;966;2407;4897;1792;168;922;53;63;196;46;7;14764
"Clienia Privatklinik Littenheid";15;81;125;136;1015;554;45;250;0;3;108;;2;2334
"Spitäler Schaffhausen";45;128;59;156;207;137;5;37;3;2;1;;4;784
"Klinik Meissenberg";5;0;1;49;350;75;10;55;0;1;0;;0;546
"Klinik Sonnenhof";1;0;1;10;64;26;2;9;0;1;109;;0;223
