"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";9400;21262;7228;37057;38098;8775;242;8594;296;491;636;0;55;132141
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;181;1033;0;0;0;0;0;0;0;31582;0;32796
"Integrierte Psychiatrie Winterthur - ZU";8872;4562;2088;15851;28664;12861;155;8750;167;700;1271;0;0;83957
"Clienia Privatklinik Schlössli";5596;6484;3875;10789;35847;4403;14;5870;334;74;143;0;5651;79095
"Sanatorium Kilchberg";4072;3784;2930;7941;29701;8459;203;2059;85;59;49;0;4061;63416
"Psychiatriestützpunkt Spital Affoltern";0;894;244;1324;3502;668;1103;265;13;2;0;0;591;8606
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";27940;36986;16546;73995;135812;35166;1717;25538;895;1326;2099;31582;10358;400011
"Psychiatrische Universitätsklinik Zürich - KJPP";43;5;129;1229;5404;2919;708;1051;112;837;5327;0;0;17764
"Modellstation SOMOSA";0;0;0;313;1362;452;0;635;0;4;760;0;624;4150
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;473;1076;2286;0;0;0;0;0;13;3848
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;49;278;766;0;0;0;478;0;0;1571
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";43;5;129;1542;7288;4725;3760;1686;112;841;6565;0;637;27333
"Forel Klinik";0;30297;1071;0;0;0;0;0;0;0;0;0;115;31483
"Suchtfachklinik Zürich";0;0;3363;0;0;0;0;0;0;0;0;0;471;3834
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;3327;0;0;0;0;0;599;3926
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;30297;4434;0;0;0;3327;0;0;0;0;0;1185;39243
"Privatklinik Hohenegg";1;12;0;295;16279;3904;116;134;0;0;157;0;939;21837
"Total Kanton Zürich";27984;67300;21109;75832;159379;43795;8920;27358;1007;2167;8821;31582;13119;488424
"Clienia Privatklinik Littenheid";510;1370;2702;4315;36719;16554;2331;7659;0;82;3427;0;167;75876
"Spitäler Schaffhausen";927;2746;1196;4214;7019;2169;87;904;43;21;15;0;1718;21162
"Klinik Meissenberg";59;0;3;1290;15192;3424;343;2030;0;65;0;0;2516;24922
"Klinik Sonnenhof";39;0;30;624;2734;812;260;304;0;8;6713;0;1497;13021
