"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";5509;4.16903156476794;48814;36.9408434929356;53402;40.412892289297;16852;12.753044096836;7564;5.72418855616349;132141
"Psychiatrische Universitätsklinik Zürich - Forensik";1330;4.05537260641542;20511;62.5411635565313;10028;30.5768996219051;927;2.82656421514819;0;0;32796
"Integrierte Psychiatrie Winterthur - ZU";11432;13.6164941577236;25520;30.3965125004467;27556;32.8215634193694;11674;13.9047369486761;7775;9.2606929737842;83957
"Clienia Privatklinik Schlössli";2933;3.70819900120109;27252;34.4547695808837;33276;42.0709273658259;10804;13.6595233579872;4830;6.10658069410203;79095
"Sanatorium Kilchberg";1477;2.32906522013372;19873;31.3375173457802;29035;45.7849754005298;9270;14.6177620789706;3761;5.93067995458559;63416
"Psychiatriestützpunkt Spital Affoltern";108;1.25493841505926;4798;55.7518010690216;3472;40.3439460841274;228;2.64931443179177;0;0;8606
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";22789;5.69709332993343;146768;36.6909909977476;156769;39.1911722427633;49755;12.4384079437815;23930;5.98233548577414;400011
"Psychiatrische Universitätsklinik Zürich - KJPP";17764;100;0;0;0;0;0;0;0;0;17764
"Modellstation SOMOSA";4150;100;0;0;0;0;0;0;0;0;4150
"Kispi Zürich - Psychosomatik und Psychiatrie";3848;100;0;0;0;0;0;0;0;0;3848
"KSW - Sozialpädiatrisches Zentrum";1571;100;0;0;0;0;0;0;0;0;1571
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";27333;100;0;0;0;0;0;0;0;0;27333
"Forel Klinik";103;0.327160689896134;8918;28.3263983737255;20987;66.6613728043706;1475;4.68506813200775;0;0;31483
"Suchtfachklinik Zürich";202;5.26864893062076;2488;64.8930620761607;1144;29.8382889932186;0;0;0;0;3834
"USZ - Zentrum für Essstörungen";952;24.2485990830362;2680;68.2628629648497;294;7.48853795211411;0;0;0;0;3926
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";1257;3.20311902759728;14086;35.8942996203144;22425;57.1439492393548;1475;3.75863211273348;0;0;39243
"Privatklinik Hohenegg";267;1.22269542519577;4081;18.6884645326739;14149;64.7936987681458;2948;13.5000228969181;392;1.79511837706645;21837
"Total Kanton Zürich";51646;10.5740094671842;164935;33.7688156192161;193343;39.5850736245557;54178;11.0924115113098;24322;4.9796897777341;488424
"Clienia Privatklinik Littenheid";19700;25.9634139912489;26113;34.4153619062681;23980;31.6041963203121;4987;6.57256576519585;1096;1.44446201697506;75876
"Spitäler Schaffhausen";942;4.45137510632265;5342;25.2433607409508;10805;51.0585010868538;3179;15.0222096210188;894;4.22455344485398;21162
"Klinik Meissenberg";1769;7.09814621619453;10364;41.5857475323008;10518;42.2036754674585;2046;8.20961399566648;225;0.902816788379745;24922
"Klinik Sonnenhof";13021;100;0;0;0;0;0;0;0;0;13021
