"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";87315;17902;12285;10434;3480;725;132141
"Psychiatrische Universitätsklinik Zürich - Forensik";10067;6429;4108;1918;10046;228;32796
"Integrierte Psychiatrie Winterthur - ZU";5980;65280;5735;2756;3411;795;83957
"Clienia Privatklinik Schlössli";9970;10020;51682;2856;4246;321;79095
"Sanatorium Kilchberg";19345;7006;6484;21554;8393;634;63416
"Psychiatriestützpunkt Spital Affoltern";2085;557;833;3837;1292;2;8606
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";134762;107194;81127;43355;30868;2705;400011
"Psychiatrische Universitätsklinik Zürich - KJPP";6731;4267;4108;2447;181;30;17764
"Modellstation SOMOSA";886;972;721;323;1248;0;4150
"Kispi Zürich - Psychosomatik und Psychiatrie";1130;620;613;333;996;156;3848
"KSW - Sozialpädiatrisches Zentrum";141;1211;5;0;214;0;1571
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";8888;7070;5447;3103;2639;186;27333
"Forel Klinik";7577;7684;3842;2620;9581;179;31483
"Suchtfachklinik Zürich";1888;889;286;303;468;0;3834
"USZ - Zentrum für Essstörungen";966;610;232;277;1841;0;3926
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";10431;9183;4360;3200;11890;179;39243
"Privatklinik Hohenegg";4910;2696;2763;1312;9611;545;21837
"Total Kanton Zürich";158991;126143;93697;50970;55008;3615;488424
"Clienia Privatklinik Littenheid";0;0;0;0;0;75876;75876
"Spitäler Schaffhausen";0;0;0;0;0;21162;21162
"Klinik Meissenberg";0;0;0;0;0;24922;24922
"Klinik Sonnenhof";0;0;0;0;0;13021;13021
