"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";2197;66.1356395084206;10.1046882111971;18.9349112426036
"Integrierte Psychiatrie Winterthur - ZU";867;68.1660899653979;17.6470588235294;20.2998846597463
"Clienia Privatklinik Schlössli";709;70.5218617771509;21.8617771509168;16.361071932299
"Sanatorium Kilchberg";458;69.2139737991266;20.9606986899563;8.07860262008734
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4231;67.6199480028362;14.7955566060033;17.608130465611
"Modellstation SOMOSA";55;45.4545454545455;10.9090909090909;7.27272727272727
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";55;45.4545454545455;10.9090909090909;7.27272727272727
"Forel Klinik";149;71.1409395973154;28.1879194630872;7.38255033557047
"Suchtfachklinik Zürich";52;57.6923076923077;11.5384615384615;5.76923076923077
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";201;67.6616915422886;23.8805970149254;6.96517412935323
"Privatklinik Hohenegg";230;71.7391304347826;20.8695652173913;0.434782608695652
"Total Kanton Zürich";4717;67.564129743481;15.4335382658469;16.1967352130591
"Clienia Privatklinik Littenheid";584;75.8561643835616;26.3698630136986;6.16438356164384
"Klinik Meissenberg";155;75.4838709677419;28.3870967741935;25.1612903225806
"Klinik Sonnenhof";126;74.6031746031746;19.8412698412698;26.984126984127
