"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Zürcher RehaZentrum Wald";2.6622987187779;92.5776441981874;0;4.76005708303467
"RehaClinic Zollikerberg";5.3969889675865;94.3862503975345;0;0.216760634878967
"RehaClinic Kilchberg";3.27224542702651;96.1251560222859;0;0.602598550687583
"Total Kanton Zürich";3.15607024642883;93.431792686487;0;3.41213706708412
"RehaClinic Zurzach";0;94.7128612460314;0;5.28713875396862
"RehaClinic Baden";11.2712506384063;87.7321014708153;0;0.99664789077835
"Rehaklinik Bellikon";17.2801916025177;79.1656824356036;0;3.55412596187874
"aarReha Schinznach";1.05117769316716;98.348227378331;0;0.600594928501871
"Reha Rheinfelden";12.6125995895938;86.9454491625965;0;0.441951247809726
"Klinik Gais";2.35795140911085;97.1379686409641;0;0.504079949924996
"Rheinburg-Klinik";10.1682154151195;89.4654074172391;0;0.366377167641369
"REHAB Basel";9.6201108723208;89.6189205784655;0;0.760968549213713
"Zürcher RehaZentrum Davos";2.5405724867565;95.8512404088235;0;1.60818710441998
"Reha Seewis";2.08086674534992;97.597303479083;0;0.321829775567055
"Kliniken Valens, Rehazentrum Valens";7.17186564928044;90.7399376438438;0;2.0881967068758
"Rehaklinik Dussnang";15.9269235957271;78.6784071668141;0;5.39466923745877
"Rehaklinik Zihlschlacht";5.47312692492136;94.0106953575063;0;0.516177717572369
