"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";1723;1712;1757;2.62850467289719
"RehaClinic Zollikerberg";528;482;536;11.2033195020747
"RehaClinic Kilchberg";245;249;252;1.20481927710843
"Universitätsklinik Balgrist";304;288;311;7.98611111111112
"Klinik Susenberg";402;308;288;-6.4935064935065
"Kinderspital Zürich";75;63;67;6.34920634920635
"Klinik Lengg";431;475;438;-7.78947368421052
"Zürcher PatientInnen im Kanton Zürich";3708;3577;3649;2.01285993849594
"Ausserkantonale Kliniken mit Zürcher Leistungsauftrag";;;;
"RehaClinic Zurzach";1319;1299;;-1.51630022744503
"RehaClinic Baden";441;451;;2.26757369614512
"Rehaklinik Bellikon";409;448;;9.53545232273838
"aarReha Schinznach";241;234;;-2.9045643153527
"Reha Rheinfelden";57;35;;-38.5964912280702
"Klinik Gais";377;205;;-45.6233421750663
"Rheinburg-Klinik";47;35;;-25.531914893617
"REHAB Basel";20;23;;15
"Zürcher RehaZentrum Davos";896;855;;-4.57589285714286
"Reha Seewis";304;309;;1.64473684210527
"Kliniken Valens, Rehazentrum Valens";326;330;;1.22699386503067
"Rehaklinik Dussnang";1042;916;;-12.0921305182342
"Rehaklinik Zihlschlacht";302;312;;3.31125827814569
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";2751;2793;;1.52671755725191
"Total Zürcher PatientInnen";12240;11822;;-3.41503267973856
