"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";48698;47445;49910;5.1954895141743
"RehaClinic Zollikerberg";11895;11474;11508;0.296322119574688
"RehaClinic Kilchberg";12112;11631;11627;-0.0343908520333613
"Universitätsklinik Balgrist";13925;13403;14129;5.41669775423412
"Klinik Susenberg";7329;6231;6016;-3.45048948804365
"Kinderspital Zürich";11416;10809;10781;-0.259043389767788
"Klinik Lengg";14303;14916;15025;0.730758916599616
"Total Kanton Zürich";119678;115909;118996;2.66329620650683
"RehaClinic Zurzach";77399;74095;;-4.2687890024419
"RehaClinic Baden";16126;14505;;-10.0520897928811
"Rehaklinik Bellikon";56502;57279;;1.37517256026336
"aarReha Schinznach";33485;33171;;-0.937733313423916
"Reha Rheinfelden";62769;62332;;-0.696203539963991
"Klinik Gais";45267;23861;;-47.2883115735525
"Rheinburg-Klinik";20658;20701;;0.208151805595902
"REHAB Basel";31089;31781;;2.22586767023707
"Zürcher RehaZentrum Davos";34922;33287;;-4.68186243628658
"Reha Seewis";19563;18772;;-4.04334713489751
"Kliniken Valens, Rehazentrum Valens";74996;72546;;-3.26684089818123
"Rehaklinik Dussnang";32905;32496;;-1.24297219267588
"Rehaklinik Zihlschlacht";45695;48848;;6.90009847904585
