"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";3;16;0;134;1;1;29;8;0;4;0;4;18;8;1;162;6;26;20;7;1;0;0;0;0;449;1757;9;2215
"RehaClinic Zollikerberg";0;3;0;4;0;0;2;1;0;0;0;0;0;0;0;6;0;7;1;5;2;0;0;1;0;32;536;8;576
"RehaClinic Kilchberg";2;0;0;19;0;0;0;0;0;1;0;1;3;1;1;3;0;11;0;0;0;0;0;0;0;42;252;0;294
"Universitätsklinik Balgrist";10;6;0;12;0;0;2;3;1;1;0;1;8;2;0;10;9;18;7;2;0;2;0;0;1;95;311;11;417
"Klinik Susenberg";1;0;0;3;0;0;0;1;0;1;0;0;1;0;0;3;2;6;3;1;0;0;0;1;0;23;288;2;313
"Kinderspital Zürich";16;13;3;5;1;0;1;6;1;9;2;5;2;0;0;16;1;21;7;4;4;1;1;0;0;119;67;5;191
"Klinik Lengg";2;3;0;3;0;0;0;2;0;0;3;0;10;0;0;2;0;9;2;0;0;1;0;0;0;37;438;3;478
"Total Kanton Zürich";34;41;3;180;2;1;34;21;2;16;5;11;42;11;2;202;18;98;40;19;7;4;1;2;1;797;3649;38;4484
"RehaClinic Zurzach";82;118;10;39;11;10;13;26;5;58;22;49;55;5;2;42;15;925;33;17;3;7;2;4;0;1553;1299;18;2870
"RehaClinic Baden";8;10;1;2;2;1;5;2;1;10;2;3;1;0;0;4;0;305;1;3;0;0;0;0;0;361;451;4;816
"Rehaklinik Bellikon";88;100;4;41;11;6;24;24;11;60;54;56;15;4;0;66;28;300;60;11;0;6;2;0;0;971;448;87;1506
"aarReha Schinznach";18;46;0;0;4;6;0;2;1;146;2;6;1;0;0;4;2;1056;2;1;2;1;0;0;0;1300;234;4;1538
"Reha Rheinfelden";52;42;2;3;4;3;0;7;5;249;229;600;2;0;0;5;2;829;2;4;2;3;0;0;6;2051;35;47;2133
"Klinik Gais";8;33;1;8;4;4;3;10;0;4;5;7;53;75;19;480;5;29;108;0;0;0;0;0;0;856;205;24;1085
"Rheinburg-Klinik";3;1;0;0;0;0;1;0;0;0;0;2;2;101;15;524;5;0;40;0;0;0;0;0;0;694;35;42;771
"REHAB Basel";33;9;0;0;1;0;0;7;8;29;112;119;3;0;0;0;3;42;2;3;4;5;3;2;20;405;23;46;474
"Zürcher RehaZentrum Davos";8;15;1;16;1;2;5;9;0;1;6;7;22;14;2;88;354;22;23;8;3;0;0;0;0;607;855;22;1484
"Reha Seewis";1;31;14;57;1;4;23;20;0;3;4;5;10;5;3;127;99;33;14;2;0;0;0;0;0;456;309;25;790
"Kliniken Valens, Rehazentrum Valens";30;46;2;112;6;10;81;10;4;18;8;17;7;25;16;1256;574;34;38;7;0;2;1;0;0;2304;330;158;2792
"Rehaklinik Dussnang";1;0;0;8;0;0;1;0;0;0;0;0;16;102;3;479;3;12;316;1;1;0;0;0;0;943;916;10;1869
"Rehaklinik Zihlschlacht";10;14;3;5;0;0;0;7;0;4;3;3;39;38;8;243;6;20;359;7;0;1;0;0;0;770;312;18;1100
