"Spitalname";"Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2215;69.9408577878104;23.7020316027088;79.3227990970655
"RehaClinic Zollikerberg";576;75.6961805555556;44.6180555555556;93.0555555555556
"RehaClinic Kilchberg";294;73.2210884353742;27.5510204081633;85.7142857142857
"Universitätsklinik Balgrist";417;63.7194244604317;41.0071942446043;74.5803357314149
"Klinik Susenberg";313;71.9936102236422;49.8402555910543;92.0127795527157
"Kinderspital Zürich";191;9.99476439790576;10.4712041884817;35.0785340314136
"Klinik Lengg";478;68.928870292887;36.1924686192469;91.6317991631799
"Total Kanton Zürich";4484;67.7986173059768;30.842997323818;81.378233719893
"RehaClinic Zurzach";2870;67.1073170731707;36.7595818815331;45.2613240418118
"RehaClinic Baden";816;74.2058823529412;16.6666666666667;55.2696078431373
"Rehaklinik Bellikon";1506;46.1387782204515;11.4873837981408;29.7476759628154
"aarReha Schinznach";1538;70.8550065019506;26.0078023407022;15.2145643693108
"Reha Rheinfelden";2133;67.4308485700891;29.6296296296296;1.64088138771683
"Klinik Gais";1085;65.4267281105991;26.5437788018433;18.8940092165899
"Rheinburg-Klinik";771;71.958495460441;52.7885862516213;4.53955901426719
"REHAB Basel";474;53.3438818565401;16.4556962025316;4.85232067510549
"Zürcher RehaZentrum Davos";1484;59.8288409703504;21.0916442048518;57.6145552560647
"Reha Seewis";790;63.9860759493671;25.4430379746835;39.1139240506329
"Kliniken Valens, Rehazentrum Valens";2792;63.4559455587393;25.3223495702006;11.8194842406877
"Rehaklinik Dussnang";1869;74.561797752809;24.6120920278224;49.0101658640984
"Rehaklinik Zihlschlacht";1100;65.0609090909091;28.1818181818182;28.3636363636364
