"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Zürcher RehaZentrum Wald";407;75.9213759213759;23.8329238329238;16.953316953317
"RehaClinic Zollikerberg";67;80.5970149253731;35.8208955223881;0
"RehaClinic Kilchberg";67;76.1194029850746;40.2985074626866;4.47761194029851
"Total Kanton Zürich";541;76.5249537892791;27.3567467652495;13.3086876155268
"RehaClinic Zurzach";585;79.1452991452991;42.2222222222222;11.1111111111111
"RehaClinic Baden";71;83.0985915492958;29.5774647887324;7.04225352112676
"Rehaklinik Bellikon";552;71.3768115942029;23.731884057971;11.9565217391304
"aarReha Schinznach";259;85.7142857142857;17.7606177606178;11.5830115830116
"Reha Rheinfelden";565;75.929203539823;35.5752212389381;12.212389380531
"Klinik Gais";182;80.2197802197802;29.6703296703297;3.2967032967033
"Rheinburg-Klinik";184;81.5217391304348;40.7608695652174;2.17391304347826
"REHAB Basel";481;79.4178794178794;46.1538461538462;10.3950103950104
"Zürcher RehaZentrum Davos";229;67.6855895196507;30.5676855895196;10.9170305676856
"Reha Seewis";107;77.5700934579439;21.4953271028037;9.34579439252336
"Kliniken Valens, Rehazentrum Valens";617;73.581847649919;21.8800648298217;10.0486223662885
"Rehaklinik Dussnang";198;78.2828282828283;20.2020202020202;8.58585858585858
"Rehaklinik Zihlschlacht";432;81.4814814814815;31.4814814814815;10.8796296296296
