"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";144;144;144;0
"RehaClinic Zollikerberg";33.9071038251366;34;34;0
"RehaClinic Kilchberg";33.9071038251366;34;34;0
"Universitätsklinik Balgrist";42;39;39;0
"Klinik Susenberg";20;20;21;5
"Kinderspital Zürich";37.3005464480874;35.4438356164384;34.2931506849315;-3.24650228028137
"Klinik Lengg";42;44;44;0
"Total Kanton Zürich";353.114754098361;350.443835616438;350.293150684932;-0.0429983113390486
"RehaClinic Zurzach";218.401639344262;219;;0.273972602739736
"RehaClinic Baden";47.8688524590164;48;;0.273972602739714
"Rehaklinik Bellikon";205;205;;0
"aarReha Schinznach";96;96;;0
"Reha Rheinfelden";178.510928961749;178;;-0.286217188337035
"Klinik Gais";89.7540983606557;80;;-10.8675799086758
"Rheinburg-Klinik";64;64.1753424657534;;0.273972602739736
"REHAB Basel";90;95;;5.55555555555556
"Zürcher RehaZentrum Davos";100;100;;0
"Reha Seewis";64;64;;0
"Kliniken Valens, Rehazentrum Valens";214;216;;0.934579439252325
"Rehaklinik Dussnang";100;100;;0
"Rehaklinik Zihlschlacht";135;135;;0
