"RehaLG";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"MAHD (Tage)";"Anzahl Pflegetage"
"Internistisch-onkologisch";1415;67.8063604240283;41.2014134275618;19.9703180212014;27260
"Kardiovaskulär";1378;68.8207547169811;34.3976777939042;21.2605224963716;28547
"Muskuloskelettal";5242;70.8115223197253;44.2197634490652;21.7020221289584;109782
"Neurologisch";2305;65.9006507592191;31.1930585683297;36.6720173535792;76800
"Psychosomatisch-sozialmedizinisch";384;50.625;15.3645833333333;32.0859375;12033
"Pulmonal";629;66.6406995230525;28.6168521462639;19.3863275039746;11855
"Querschnittslähmung";91;56.1428571428571;30.7692307692308;46.7582417582418;3328
"Allgemein pädiatrisch";39;11.3076923076923;10.2564102564103;43.3333333333333;2117
"Neurologisch inkl. Neuro-orthopädisch (Kinder)";24;6.79166666666667;25;62.75;1015
"Übrige Rehabilitation";315;65.6380952380952;31.7460317460317;25.3047619047619;20121
"Total Zürcher PatientInnen";11822;67.8076467602774;37.8193199120284;25.0197090170868;292858
