"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";2393;67.2377768491433;10.405348934392;17.1333054743
"Integrierte Psychiatrie Winterthur - ZU";926;68.7904967602592;17.92656587473;21.1663066954644
"Clienia Privatklinik Schlössli";725;71.3103448275862;19.5862068965517;17.5172413793103
"Sanatorium Kilchberg";488;68.8524590163934;22.1311475409836;10.4508196721311
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4532;68.3804060017652;14.6734333627538;17.2992056487202
"Modellstation SOMOSA";53;47.1698113207547;11.3207547169811;5.66037735849057
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";53;47.1698113207547;11.3207547169811;5.66037735849057
"Forel Klinik";170;72.3529411764706;21.7647058823529;10.5882352941176
"Suchtfachklinik Zürich";63;60.3174603174603;14.2857142857143;3.17460317460317
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";233;69.0987124463519;19.7424892703863;8.58369098712446
"Privatklinik Hohenegg";269;72.1189591078067;21.9330855018587;0
"Total Kanton Zürich";5087;68.3900137605661;15.2545704737566;15.8639669746412
"Clienia Privatklinik Littenheid";643;76.8273716951789;27.5272161741835;12.4416796267496
"Klinik Meissenberg";179;77.6536312849162;27.3743016759777;20.6703910614525
"Klinik Sonnenhof";146;77.3972602739726;15.0684931506849;16.4383561643836
