"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Psychiatrische Universitätsklinik Zürich";158796.994;70369.418;0;47016.811;276183.223
"Integrierte Psychiatrie Winterthur - ZU";71138.38;25907.209;42.008;8895.806;105983.403
"Clienia Privatklinik Schlössli";66568.551;11623.865;0;6091.743;84284.159
"Sanatorium Kilchberg";48406.628;9854.014;33.599;2190.937;60485.178
"Zentrum für Psychiatrie und Psychotherapie Affoltern";7672.471;1131.1;0;0;8803.571
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";352583.024;118885.606;75.607;64195.297;535739.534
"Modellstation SOMOSA";2206.09;106.92;0;4109.194;6422.204
"Kispi Zürich - Psychosomatik und Psychiatrie";3521.449;458.549;0;0;3979.998
"KSW - Sozialpädiatrisches Zentrum";3415.69;6137.439;0;0;9553.129
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";9143.229;6702.908;0;4109.194;19955.331
"Forel Klinik";17854.699;4035.606;0;705.771;22596.076
"Suchtfachklinik Zürich";6146.494;1046.852;0;132.316;7325.662
"USZ - Zentrum für Essstörungen";4117.495;7066.641;0;0;11184.136
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";28118.688;12149.099;0;838.087;41105.874
"Privatklinik Hohenegg";21503.905;1141.14;0;1071.137;23716.182
"Total Kanton Zürich";411348.846;138878.753;75.607;70213.715;620516.921
