"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";257;832;366;919;1296;434;7;339;16;13;20;0;0;4499
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;4;0;0;0;1;0;0;0;48;0;53
"Integrierte Psychiatrie Winterthur - ZU";238;376;141;673;1148;576;5;294;13;26;22;0;0;3512
"Clienia Privatklinik Schlössli";229;362;197;394;1175;228;5;194;20;11;12;0;0;2827
"Sanatorium Kilchberg";170;228;105;301;873;299;5;88;11;9;8;0;0;2097
"Zentrum für Psychiatrie und Psychotherapie Affoltern";2;54;29;40;126;34;72;19;2;0;0;0;0;378
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";896;1852;838;2331;4618;1571;94;935;62;59;62;48;0;13366
"Psychiatrische Universitätsklinik Zürich - KJPP";0;1;6;9;187;48;13;21;0;20;78;0;1;384
"Modellstation SOMOSA";0;0;0;2;7;5;0;4;0;3;10;0;0;31
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;2;14;29;1;0;0;3;0;0;49
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;3;8;27;1;0;0;4;0;0;43
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;1;6;11;199;75;69;27;0;23;95;0;1;507
"Forel Klinik";0;637;30;0;0;0;0;0;0;0;0;0;0;667
"Suchtfachklinik Zürich";1;1;187;1;0;0;0;0;0;0;0;0;0;190
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;62;0;0;0;0;0;0;62
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";1;638;217;1;0;0;62;0;0;0;0;0;0;919
"Privatklinik Hohenegg";1;0;0;7;378;94;0;1;0;0;0;0;0;481
"Total Kanton Zürich";898;2491;1061;2350;5195;1740;225;963;62;82;157;48;1;15273
"Clienia Privatklinik Littenheid";20;103;126;101;866;500;44;253;2;4;81;;0;2100
"Spitäler Schaffhausen";50;138;55;150;147;149;3;30;2;0;3;;1;728
"Klinik Meissenberg";0;0;0;22;357;67;3;58;0;0;0;;0;507
"Klinik Sonnenhof";0;0;0;6;111;12;6;8;0;5;157;;0;305
