"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";238.368;706.984;310.304;196.328;171.02;55.792;1678.796
"Integrierte Psychiatrie Winterthur - ZU";84.984;258.089;131.375;78.94;58.074;18.23;629.692
"Clienia Privatklinik Schlössli";64.408;190.296;83.248;37.432;80.052;10.47;465.906
"Sanatorium Kilchberg";52.608;109.858;64.592;50.712;61.974;5.38;345.124
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";440.368;1265.227;589.519;363.412;371.12;89.872;3119.518
"Modellstation SOMOSA";1;7.33;21.92;3.83;1.63;1.16;36.87
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";1;7.33;21.92;3.83;1.63;1.16;36.87
"Forel Klinik";9.96;24.11;37.4;21.28;27.174;4;123.924
"Suchtfachklinik Zürich";4.08;19.75;8.01;8.98;2.85;0.9;44.57
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";14.04;43.86;45.41;30.26;30.024;4.9;168.494
"Privatklinik Hohenegg";14.75;41.481;13.81;21.93;44.98;2.09;139.041
"Total Kanton Zürich";470.158;1357.898;670.659;419.432;447.754;98.022;3463.923
"Clienia Privatklinik Littenheid";58.846;197.215;92.094;40.3;69.422;12.28;470.157
"Klinik Meissenberg";13.65;50.416;17.789;8.78;25.292;3.91;119.837
"Klinik Sonnenhof";4.61;46.16;50.236;8.728;8.49;1.8;120.024
