"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";279;6.20137808401867;1771;39.3643031784841;1860;41.3425205601245;350;7.77950655701267;239;5.31229162036008;4499
"Psychiatrische Universitätsklinik Zürich - Forensik";1;1.88679245283019;37;69.811320754717;13;24.5283018867925;2;3.77358490566038;0;0;53
"Integrierte Psychiatrie Winterthur - ZU";489;13.9236902050114;1357;38.6389521640091;1180;33.5990888382688;295;8.3997722095672;191;5.43849658314351;3512
"Clienia Privatklinik Schlössli";165;5.83657587548638;1029;36.3990095507605;1163;41.139016625398;279;9.86911920764061;191;6.75627874071454;2827
"Sanatorium Kilchberg";109;5.19790176442537;755;36.0038149737721;868;41.3924654268002;227;10.824988078207;138;6.58082975679542;2097
"Zentrum für Psychiatrie und Psychotherapie Affoltern";12;3.17460317460317;202;53.4391534391534;157;41.5343915343915;7;1.85185185185185;0;0;378
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";1055;7.89316175370343;5151;38.5380816998354;5241;39.2114319916205;1160;8.67873709411941;759;5.67858746072123;13366
"Psychiatrische Universitätsklinik Zürich - KJPP";384;100;0;0;0;0;0;0;0;0;384
"Modellstation SOMOSA";31;100;0;0;0;0;0;0;0;0;31
"Kispi Zürich - Psychosomatik und Psychiatrie";49;100;0;0;0;0;0;0;0;0;49
"KSW - Sozialpädiatrisches Zentrum";43;100;0;0;0;0;0;0;0;0;43
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";507;100;0;0;0;0;0;0;0;0;507
"Forel Klinik";0;0;180;26.9865067466267;445;66.7166416791604;40;5.99700149925037;2;0.299850074962519;667
"Suchtfachklinik Zürich";10;5.26315789473684;124;65.2631578947368;56;29.4736842105263;0;0;0;0;190
"USZ - Zentrum für Essstörungen";14;22.5806451612903;44;70.9677419354839;4;6.45161290322581;0;0;0;0;62
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";24;2.61153427638738;348;37.867247007617;505;54.9510337323177;40;4.3525571273123;2;0.217627856365615;919
"Privatklinik Hohenegg";5;1.03950103950104;77;16.008316008316;294;61.1226611226611;94;19.5426195426195;11;2.28690228690229;481
"Total Kanton Zürich";1591;10.4170758855497;5576;36.5088718653834;6040;39.5469128527467;1294;8.47246775355202;772;5.05467164276828;15273
"Clienia Privatklinik Littenheid";593;28.2380952380952;712;33.9047619047619;650;30.952380952381;113;5.38095238095238;32;1.52380952380952;2100
"Spitäler Schaffhausen";32;4.3956043956044;226;31.043956043956;328;45.0549450549451;93;12.7747252747253;49;6.73076923076923;728
"Klinik Meissenberg";38;7.49506903353057;220;43.3925049309665;218;42.9980276134122;28;5.52268244575937;3;0.591715976331361;507
"Klinik Sonnenhof";305;100;0;0;0;0;0;0;0;0;305
