"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";8279;6.06187076697785;48267;35.341021416804;56456;41.3369943254622;15142;11.0869485630606;8431;6.17316492769541;136575
"Psychiatrische Universitätsklinik Zürich - Forensik";48;0.146408418484063;25386;77.4317523257587;6281;19.1581515937166;1070;3.26368766204057;0;0;32785
"Integrierte Psychiatrie Winterthur - ZU";17114;19.7256800368834;25745;29.6738128169663;24536;28.2803135085293;12561;14.4778699861687;6804;7.84232365145228;86760
"Clienia Privatklinik Schlössli";3777;4.4865474847063;28117;33.3990615905446;36244;43.0528003801152;10210;12.128051315555;5837;6.93353922907881;84185
"Sanatorium Kilchberg";1821;2.80637405991863;22923;35.3270250277401;28731;44.2778325730489;7764;11.9652324004438;3649;5.62353593884848;64888
"Zentrum für Psychiatrie und Psychotherapie Affoltern";212;2.01808662541647;6439;61.2946216087577;3619;34.4502617801047;235;2.23702998572108;0;0;10505
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";31251;7.5177171889208;156877;37.7382137994409;155867;37.49524895477;46982;11.301954784483;24721;5.94686527238524;415698
"Psychiatrische Universitätsklinik Zürich - KJPP";20833;100;0;0;0;0;0;0;0;0;20833
"Modellstation SOMOSA";4416;100;0;0;0;0;0;0;0;0;4416
"Kispi Zürich - Psychosomatik und Psychiatrie";3949;100;0;0;0;0;0;0;0;0;3949
"KSW - Sozialpädiatrisches Zentrum";3122;100;0;0;0;0;0;0;0;0;3122
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";32320;100;0;0;0;0;0;0;0;0;32320
"Forel Klinik";0;0;9154;26.4849694760293;23679;68.5096779793421;1712;4.95327373202558;18;0.0520788126030727;34563
"Suchtfachklinik Zürich";303;2.97876523790798;6665;65.5230043255997;3204;31.4982304364923;0;0;0;0;10172
"USZ - Zentrum für Essstörungen";971;21.0036772658447;3133;67.7698464200735;519;11.2264763140818;0;0;0;0;4623
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";1274;2.58114186150168;18952;38.3970177073625;27402;55.5168361765063;1712;3.46853600226914;18;0.0364682523603063;49358
"Privatklinik Hohenegg";264;1.10719677906392;4215;17.6774031202818;14730;61.7765475591344;4232;17.74869988257;403;1.69015265894984;23844
"Total Kanton Zürich";65109;12.4916541959249;180044;34.542803422739;197999;37.9876060013046;52926;10.1542534822148;25142;4.82368289781666;521220
"Clienia Privatklinik Littenheid";25634;29.5462142256135;27242;31.3996242464759;27050;31.1783215574177;5463;6.29675307460897;1370;1.579086895884;86759
"Spitäler Schaffhausen";768;4.0901102412526;6065;32.3001544442669;8591;45.7527826596368;2409;12.829525483304;944;5.02742717153965;18777
"Klinik Meissenberg";1625;6.53818298865374;10999;44.2544459644323;10570;42.5283656554277;1505;6.05536332179931;155;0.623642069686972;24854
"Klinik Sonnenhof";12565;100;0;0;0;0;0;0;0;0;12565
