"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";11;4;3;10;0;0;4;4;2;2;2;1;11;2;0;8;1;17;6;0;3;1;0;3;0;95;4339;65;4499
"Psychiatrische Universitätsklinik Zürich - Forensik";6;1;0;0;0;0;0;0;0;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;14;39;0;53
"Integrierte Psychiatrie Winterthur - ZU";3;8;0;8;1;2;0;2;2;3;3;2;29;0;0;9;4;21;13;1;1;2;0;0;0;114;3363;35;3512
"Clienia Privatklinik Schlössli";11;7;0;9;0;1;3;6;0;6;2;1;9;0;0;27;2;21;14;4;1;0;0;0;0;124;2691;12;2827
"Sanatorium Kilchberg";14;15;2;29;0;3;5;30;2;8;7;2;19;2;0;11;4;61;8;3;2;1;0;1;0;229;1845;23;2097
"Zentrum für Psychiatrie und Psychotherapie Affoltern";3;11;1;5;0;0;3;6;1;2;0;3;3;1;0;3;0;23;2;0;1;0;1;0;0;69;305;4;378
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";48;46;6;61;1;6;15;48;7;21;15;9;71;5;0;62;11;144;44;8;8;4;1;4;0;645;12582;139;13366
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;382;0;384
"Modellstation SOMOSA";0;2;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;8;22;1;31
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;8;41;0;49
"KSW - Sozialpädiatrisches Zentrum";0;0;0;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;5;38;0;43
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;2;0;5;0;1;0;2;0;0;0;1;5;0;0;1;0;2;3;0;1;0;0;0;0;23;483;1;507
"Forel Klinik";1;6;1;14;3;1;3;12;0;4;6;13;20;7;1;34;2;23;33;1;0;0;0;0;0;185;480;2;667
"Suchtfachklinik Zürich";0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;2;3;5;2;0;0;0;0;0;0;16;174;0;190
"USZ - Zentrum für Essstörungen";0;1;0;2;0;0;0;1;0;1;0;0;2;0;0;2;3;6;2;1;0;1;0;0;0;22;40;0;62
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";1;7;1;17;3;1;3;13;0;5;6;15;23;7;1;38;8;34;37;2;0;1;0;0;0;223;694;2;919
"Privatklinik Hohenegg";11;27;1;19;1;3;0;17;0;7;11;8;5;2;0;22;7;45;11;4;0;0;0;0;0;201;260;20;481
"Total Kanton Zürich";60;82;8;102;5;11;18;80;7;33;32;33;104;14;1;123;26;225;95;14;9;5;1;4;0;1092;14019;162;15273
"Clienia Privatklinik Littenheid";33;83;15;224;1;3;11;135;6;19;13;13;50;73;9;262;34;57;737;0;0;3;0;0;0;1781;298;21;2100
"Spitäler Schaffhausen";0;0;1;1;0;0;0;1;0;0;0;1;574;1;0;4;2;2;8;0;0;0;0;0;0;595;125;8;728
"Klinik Meissenberg";32;99;4;40;5;4;2;61;1;16;4;9;7;0;0;7;7;70;2;0;1;1;0;0;0;372;133;2;507
"Klinik Sonnenhof";0;0;0;3;0;0;1;1;1;0;0;0;5;12;1;215;0;1;2;0;0;0;0;0;0;242;63;0;305
