"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";9076;22362;8475;29158;36131;8081;188;9509;612;294;491;0;0;12198;136575
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;2127;0;0;0;214;0;0;0;30210;0;234;32785
"Integrierte Psychiatrie Winterthur - ZU";8569;5212;2232;16586;28923;13567;143;9873;128;884;627;0;0;16;86760
"Clienia Privatklinik Schlössli";6223;7240;3923;9204;37460;7525;117;6467;375;314;267;0;0;5070;84185
"Sanatorium Kilchberg";4121;4089;2150;7385;30764;9239;105;2141;234;250;164;0;0;4246;64888
"Zentrum für Psychiatrie und Psychotherapie Affoltern";7;844;611;1169;3380;813;2652;310;15;0;0;0;0;704;10505
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";27996;39747;17391;65629;136658;39225;3205;28514;1364;1742;1549;30210;0;22468;415698
"Psychiatrische Universitätsklinik Zürich - KJPP";0;56;109;424;8307;2048;777;1410;0;963;3851;0;7;2881;20833
"Modellstation SOMOSA";0;0;0;513;863;779;0;119;0;657;601;0;0;884;4416
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;163;839;2115;50;0;0;176;0;0;606;3949
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;213;515;1455;57;0;0;241;0;0;641;3122
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;56;109;937;9546;4181;4347;1636;0;1620;4869;0;7;5012;32320
"Forel Klinik";0;30004;1275;0;0;0;0;0;0;0;0;0;0;3284;34563
"Suchtfachklinik Zürich";2;3;9156;27;0;0;0;0;0;0;0;0;0;984;10172
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;4030;0;0;0;0;0;0;593;4623
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";2;30007;10431;27;0;0;4030;0;0;0;0;0;0;4861;49358
"Privatklinik Hohenegg";13;0;0;306;17369;4458;0;42;0;0;0;0;0;1656;23844
"Total Kanton Zürich";28011;69810;27931;66899;163573;47864;11582;30192;1364;3362;6418;30210;7;33997;521220
"Clienia Privatklinik Littenheid";653;2094;2794;2686;33566;20374;2620;11517;60;125;3073;0;0;7197;86759
"Spitäler Schaffhausen";940;2756;1114;4143;4623;3166;71;680;33;0;92;0;10;1149;18777
"Klinik Meissenberg";0;0;0;1056;16330;2771;164;2280;0;0;0;0;0;2253;24854
"Klinik Sonnenhof";0;0;0;218;1650;360;582;362;0;209;7598;0;0;1586;12565
