"Spitalname";"Austritte";"Anteil in %";"Day Mix Index";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4499;29.4572120735939;1.01879248773352;43.7392753945321;3.5341186930429;96.4436541453656;48.5218937541676
"Psychiatrische Universitätsklinik Zürich - Forensik";53;0.347017612780724;0.9822645040807;37.2830188679245;0;73.5849056603774;7.54716981132075
"Integrierte Psychiatrie Winterthur - ZU";3512;22.9948274733189;1.08826156599897;41.4715261958998;4.04328018223235;95.7574031890661;69.6184510250569
"Clienia Privatklinik Schlössli";2827;18.5097885156813;1.00937628399431;45.6268128758401;14.9628581535196;95.1892465511143;34.2412451361868
"Sanatorium Kilchberg";2097;13.7301119622864;1.00303099531499;45.8898426323319;18.550309966619;87.9828326180258;46.8764902241297
"Zentrum für Psychiatrie und Psychotherapie Affoltern";378;2.47495580436064;1.04750809722908;38.8756613756614;4.76190476190476;80.6878306878307;30.6878306878307
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";13366;87.5139134420219;1.02741605194098;43.7168936106539;8.46176866676642;94.1343707915607;50.1197067185396
"Psychiatrische Universitätsklinik Zürich - KJPP";384;2.51424081712827;1.42995899505921;13.5859375;0;99.4791666666667;49.21875
"Modellstation SOMOSA";31;0.202972565966084;1.41908136450336;16.0645161290323;0;70.9677419354839;0
"Kispi Zürich - Psychosomatik und Psychiatrie";49;0.320827604268971;1.39855435934643;15.0816326530612;14.2857142857143;83.6734693877551;0
"KSW - Sozialpädiatrisches Zentrum";43;0.281542591501342;1.39959865730088;14.7906976744186;11.6279069767442;88.3720930232558;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";507;3.31958357886466;1.42197807500824;13.9842209072978;2.36686390532544;95.2662721893491;37.2781065088757
"Forel Klinik";667;4.36718391933477;0.832307724530502;47.4377811094453;0;71.9640179910045;0
"Suchtfachklinik Zürich";190;1.24402540430826;0.846099924832099;33.7473684210526;0;91.5789473684211;0
"USZ - Zentrum für Essstörungen";62;0.405945131932168;0.932657658204593;25.1451612903226;14.5161290322581;64.5161290322581;3.2258064516129
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";919;6.0171544555752;0.844765359099788;43.1033732317737;0.979325353645267;75.5168661588683;0.217627856365615
"Privatklinik Hohenegg";481;3.14934852353827;0.951307657858333;53.2765072765073;100;54.0540540540541;0
"Total Kanton Zürich";15273;100;1.02980918846649;42.9940417730636;10.6920709749231;91.7894323315655;45.1122896614941
"Clienia Privatklinik Littenheid";2100;;1.09105822067642;34.99;5.71428571428571;14.1904761904762;24.6666666666667
"Spitäler Schaffhausen";728;;1.00280850354054;48.3186813186813;2.74725274725275;17.1703296703297;37.9120879120879
"Klinik Meissenberg";507;;0.972423681389823;40.6153846153846;14.0039447731755;26.232741617357;9.86193293885602
"Klinik Sonnenhof";305;;1.48998955042308;14.6950819672131;0;20.655737704918;65.5737704918033
