"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";855;73.7918128654971;17.1929824561404;35.2760233918129;26736
"F10 Alkohol";2230;45.2004484304933;1.21076233183857;32.2439461883408;64214
"F11-F19 Drogen";1066;35.3461538461538;1.21951219512195;32.2532833020638;30449
"F2 Schizophrenie";2209;42.8995020371209;4.39112720688094;40.5079221367134;74093
"F3 affektive Störungen";5694;43.7931155602388;15.9992975061468;37.0651563048823;194206
"F4 neurotische Störungen";1861;36.4873723804406;10.2095647501343;29.8;51081
"F5 Verhaltensauffälligkeiten";247;29.0769230769231;16.1943319838057;59.82995951417;13047
"F6 Persönlichkeitsstörungen";1043;28.9693192713327;3.7392138063279;32.3346116970278;30415
"F7 Intelligenzstörungen";62;37.5;4.83870967741935;35.1290322580645;1938
"F8 Entwicklungsstörungen";72;25.8888888888889;4.16666666666667;37.8333333333333;2571
"F9 Störungen mit Beginn in Kindheit";221;14.89592760181;3.16742081447964;50.2443438914027;8752
"Forensik";37;38.2972972972973;0;597;20394
"Andere";37;38.6486486486486;16.2162162162162;26.0540540540541;36329
"Total";15634;42.3000511705258;9.48573621593962;37.0984904694896;554225
