"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";125885;129034;136575;5.84419610335261
"Psychiatrische Universitätsklinik Zürich - Forensik";33239;31907;32785;2.75174726549032
"Integrierte Psychiatrie Winterthur - ZU";78111;85983;86760;0.903667003942643
"Clienia Privatklinik Schlössli";83094;84254;84185;-0.0818952215918545
"Sanatorium Kilchberg";64602;64451;64888;0.678034475803324
"Zentrum für Psychiatrie und Psychotherapie Affoltern";9707;10329;10505;1.70394036208732
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";394638;405958;415698;2.39926297794353
"Psychiatrische Universitätsklinik Zürich - KJPP";19470;20242;20833;2.919671969173
"Modellstation SOMOSA";5069;4769;4416;-7.40197106311595
"Kispi Zürich - Psychosomatik und Psychiatrie";3876;4221;3949;-6.4439706230751
"KSW - Sozialpädiatrisches Zentrum";1822;2242;3122;39.2506690454951
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";30237;31474;32320;2.68793289699434
"Forel Klinik";34070;34569;34563;-0.017356591165496
"Suchtfachklinik Zürich";8604;10497;10172;-3.0961227017243
"USZ - Zentrum für Essstörungen";3664;4270;4623;8.26697892271662
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";46338;49336;49358;0.0445921842062491
"Privatklinik Hohenegg";23599;23819;23844;0.104958226625795
"Total Kanton Zürich";494812;510587;521220;2.08250503831864
"Clienia Privatklinik Littenheid";85944;86759;;0.948291911011823
"Spitäler Schaffhausen";17885;18777;;4.9874196253844
"Klinik Meissenberg";23889;24854;;4.03951609527398
"Klinik Sonnenhof";12853;12565;;-2.24072201042558
