"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4134;4021;4339;7.90848047749315
"Psychiatrische Universitätsklinik Zürich - Forensik";33;42;39;-7.14285714285714
"Integrierte Psychiatrie Winterthur - ZU";3270;3190;3363;5.423197492163
"Clienia Privatklinik Schlössli";2486;2600;2691;3.49999999999999
"Sanatorium Kilchberg";1859;1784;1845;3.41928251121075
"Zentrum für Psychiatrie und Psychotherapie Affoltern";358;327;305;-6.72782874617737
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12140;11964;12582;5.1654964894684
"Psychiatrische Universitätsklinik Zürich - KJPP";367;388;382;-1.54639175257731
"Modellstation SOMOSA";15;21;22;4.76190476190477
"Kispi Zürich - Psychosomatik und Psychiatrie";39;44;41;-6.81818181818182
"KSW - Sozialpädiatrisches Zentrum";23;26;38;46.1538461538461
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";444;479;483;0.835073068893522
"Forel Klinik";427;427;480;12.4121779859485
"Suchtfachklinik Zürich";141;171;174;1.75438596491229
"USZ - Zentrum für Essstörungen";19;18;40;122.222222222222
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";587;616;694;12.6623376623377
"Privatklinik Hohenegg";269;275;260;-5.45454545454546
"Zürcher PatientInnen im Kanton Zürich";13440;13334;14019;5.13724313784312
"Clienia Privatklinik Littenheid";313;298;;-4.7923322683706
"Spitäler Schaffhausen";171;125;;-26.9005847953216
"Klinik Meissenberg";128;133;;3.90625
"Klinik Sonnenhof";28;63;;125
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";1355;1681;;24.0590405904059
"Total Zürcher PatientInnen";15435;15634;14019;
