"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";99669;18435;9278;5216;3147;830;136575
"Psychiatrische Universitätsklinik Zürich - Forensik";8412;7778;2530;1468;12597;0;32785
"Integrierte Psychiatrie Winterthur - ZU";7287;67967;4814;2008;4220;464;86760
"Clienia Privatklinik Schlössli";11724;8370;55076;3283;5352;380;84185
"Sanatorium Kilchberg";20959;7301;6421;20825;9044;338;64888
"Zentrum für Psychiatrie und Psychotherapie Affoltern";2066;1088;1305;3355;2618;73;10505
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";150117;110939;79424;36155;36978;2085;415698
"Psychiatrische Universitätsklinik Zürich - KJPP";7418;5224;5110;2792;289;0;20833
"Modellstation SOMOSA";824;889;785;440;1409;69;4416
"Kispi Zürich - Psychosomatik und Psychiatrie";1741;453;443;688;624;0;3949
"KSW - Sozialpädiatrisches Zentrum";374;1971;362;149;266;0;3122
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";10357;8537;6700;4069;2588;69;32320
"Forel Klinik";7590;10365;4161;2282;10087;78;34563
"Suchtfachklinik Zürich";3803;2638;1471;1106;1154;0;10172
"USZ - Zentrum für Essstörungen";1477;569;530;498;1549;0;4623
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";12870;13572;6162;3886;12790;78;49358
"Privatklinik Hohenegg";5059;2518;2970;2009;10430;858;23844
"Total Kanton Zürich";178403;135566;95256;46119;62786;3090;521220
"Clienia Privatklinik Littenheid";3214;6630;2696;1124;73095;0;86759
"Spitäler Schaffhausen";287;1124;406;256;16704;0;18777
"Klinik Meissenberg";2163;1396;1638;868;18789;0;24854
"Klinik Sonnenhof";416;1182;286;37;10644;0;12565
