"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";3245;541;322;194;95;102;4499
"Psychiatrische Universitätsklinik Zürich - Forensik";13;13;10;1;14;2;53
"Integrierte Psychiatrie Winterthur - ZU";258;2819;189;79;100;67;3512
"Clienia Privatklinik Schlössli";335;233;2025;95;124;15;2827
"Sanatorium Kilchberg";656;193;207;786;229;26;2097
"Zentrum für Psychiatrie und Psychotherapie Affoltern";78;38;48;138;69;7;378
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4585;3837;2801;1293;631;219;13366
"Psychiatrische Universitätsklinik Zürich - KJPP";141;91;99;51;2;0;384
"Modellstation SOMOSA";4;6;8;4;8;1;31
"Kispi Zürich - Psychosomatik und Psychiatrie";21;7;5;8;8;0;49
"KSW - Sozialpädiatrisches Zentrum";6;25;6;1;5;0;43
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";172;129;118;64;23;1;507
"Forel Klinik";156;192;85;46;185;3;667
"Suchtfachklinik Zürich";75;51;28;18;16;2;190
"USZ - Zentrum für Essstörungen";16;9;7;7;21;2;62
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";247;252;120;71;222;7;919
"Privatklinik Hohenegg";104;52;68;36;201;20;481
"Total Kanton Zürich";5108;4270;3107;1464;1077;247;15273
"Clienia Privatklinik Littenheid";64;153;57;24;1781;21;2100
"Spitäler Schaffhausen";24;55;34;12;595;8;728
"Klinik Meissenberg";46;26;38;23;372;2;507
"Klinik Sonnenhof";14;26;16;7;242;0;305
