"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Psychiatrische Universitätsklinik Zürich";158842.357;43909.827;0;65978.623;268730.807
"Integrierte Psychiatrie Winterthur - ZU";73745.537;18105.61;11.119;15012.125;106874.391
"Clienia Privatklinik Schlössli";68436.187;8680.66;0;8782.533;85899.38
"Sanatorium Kilchberg";51686.524;7368.893;41.259;1984.132;61080.808
"Zentrum für Psychiatrie und Psychotherapie Affoltern";7567.599;891.839;0;204.37;8663.808
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";360278.204;78956.829;52.378;91961.783;531249.194
"Modellstation SOMOSA";1981.623;106.984;0;3718.731;5807.338
"Kispi Zürich - Psychosomatik und Psychiatrie";3159.302;334.117;0;228.7;3722.119
"KSW - Sozialpädiatrisches Zentrum";2730.905;3687.924;0;2277.604;8696.433
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";7871.83;4129.025;0;6225.035;18225.89
"Forel Klinik";18417.189;1941.954;0;1929.807;22288.95
"Suchtfachklinik Zürich";5984.067;241.401;0;174.115;6399.583
"USZ - Zentrum für Essstörungen";4115.654;3388.015;0;2046.663;9550.332
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";28516.91;5571.37;0;4150.585;38238.865
"Privatklinik Hohenegg";21536.265;1034.58;0;732.67;23303.515
"Total Kanton Zürich";418203.209;89691.804;52.378;103070.073;611017.464
