"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";2976;588;417;316;136;69;4502
"Psychiatrische Universitätsklinik Zürich - Forensik";15;10;1;1;8;1;36
"Integrierte Psychiatrie Winterthur - ZU";263;2355;173;41;114;45;2991
"Clienia Privatklinik Schlössli";372;259;1625;89;121;10;2476
"Sanatorium Kilchberg";802;265;207;789;216;45;2324
"Psychiatriestützpunkt Spital Affoltern";49;21;16;127;34;1;248
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4477;3498;2439;1363;629;171;12577
"Psychiatrische Universitätsklinik Zürich - KJPP";115;74;62;40;2;0;293
"Modellstation SOMOSA";4;5;2;2;11;0;24
"Kispi Zürich - Psychosomatik und Psychiatrie";17;11;7;4;20;0;59
"KSW - Sozialpädiatrisches Zentrum";0;12;5;1;3;0;21
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";136;102;76;47;36;0;397
"Forel Klinik";156;117;73;54;163;5;568
"Suchtbehandlung Frankental";83;51;17;8;8;2;169
"USZ - Zentrum für Essstörungen";9;17;9;3;22;0;60
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";248;185;99;65;193;7;797
"Privatklinik Hohenegg";105;59;74;34;203;19;494
"Total Kanton Zürich";4966;3844;2688;1509;1061;197;14265
"Clienia Privatklinik Littenheid";76;131;89;34;1802;28;2160
"Spitäler Schaffhausen";54;37;15;13;529;15;663
"Klinik Meissenberg";68;31;25;28;423;4;579
"Klinik Sonnenhof";13;8;7;3;203;0;234
