"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4148;4262;4295;0.774284373533551
"Psychiatrische Universitätsklinik Zürich - Forensik";44;39;26;-33.3333333333333
"Integrierte Psychiatrie Winterthur - ZU";3034;3057;2848;-6.83676807327446
"Clienia Privatklinik Schlössli";2432;2463;2345;-4.7909053999188
"Sanatorium Kilchberg";1837;2050;2065;0.731707317073171
"Psychiatriestützpunkt Spital Affoltern";169;169;213;26.0355029585799
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";11664;12040;11792;-2.05980066445183
"Psychiatrische Universitätsklinik Zürich - KJPP";237;305;291;-4.59016393442623
"Modellstation SOMOSA";7;15;14;-6.66666666666667
"Kispi Zürich - Psychosomatik und Psychiatrie";44;45;39;-13.3333333333333
"KSW - Sozialpädiatrisches Zentrum";17;14;18;28.5714285714286
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";305;379;362;-4.48548812664907
"Forel Klinik";388;358;400;11.731843575419
"Suchtbehandlung Frankental";151;159;160;0.628930817610063
"USZ - Zentrum für Essstörungen";25;26;36;38.4615384615385
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";564;543;596;9.76058931860038
"Privatklinik Hohenegg";298;270;272;0.740740740740731
"Zürcher PatientInnen im Kanton Zürich";12831;13232;13022;-1.58706166868199
"Clienia Privatklinik Littenheid";273;330;;20.8791208791209
"Spitäler Schaffhausen";94;119;;26.5957446808511
"Klinik Meissenberg";95;152;;60
"Klinik Sonnenhof";24;31;;29.1666666666667
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";1044;1271;;21.7432950191571
"Total Zürcher PatientInnen";14361;15135;13022;
