"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";897;76;21.5161649944259;33.2028985507246;27771
"F10 Alkohol";1969;46.864906043677;0.660233621127476;31.2270187912646;56925
"F11-F19 Drogen";1037;36.8457087753134;0.675024108003857;27.6460945033751;27497
"F2 Schizophrenie";2473;43.0905782450465;5.01415285078852;31.5240598463405;74049
"F3 affektive Störungen";5006;46.1350379544547;17.0994806232521;35.8112265281662;167726
"F4 neurotische Störungen";2141;38.3288183092013;7.98692199906586;25.133582438113;49843
"F5 Verhaltensauffälligkeiten";179;28.8156424581006;16.7597765363128;57.8826815642458;9382
"F6 Persönlichkeitsstörungen";1015;32.9832512315271;2.5615763546798;30.3399014778325;28585
"F7 Intelligenzstörungen";57;34.5614035087719;3.50877192982456;17.8421052631579;924
"F8 Entwicklungsstörungen";61;25.4590163934426;14.7540983606557;46.6393442622951;2244
"F9 Störungen mit Beginn in Kindheit";245;20.5142857142857;1.63265306122449;48.469387755102;10378
"Forensik";39;32.2051282051282;0;535.74358974359;4385
"Andere";16;39.0625;18.75;35.4375;55254
"Total";15135;44.0899240171787;9.50115626032375;33.6526593987446;514963
