"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Psychiatrische Universitätsklinik Zürich";24.888863783412;65.9291385414767;0;9.18199767511128
"Integrierte Psychiatrie Winterthur - ZU";26.3780466132131;71.0383467206301;0.0697092732498717;2.51389739290688
"Clienia Privatklinik Schlössli";18.469536291878;74.7503789177149;0;6.78008479040703
"Sanatorium Kilchberg";12.3258104300936;86.8243144059619;0.118664866688691;0.731210297255825
"Psychiatriestützpunkt Spital Affoltern";8.46281832633455;91.5371816736654;0;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";22.3238201478985;71.4019568520299;0.028510024575428;6.24571297549616
"Modellstation SOMOSA";0.8578989237458;32.8792432473129;66.2628578289413;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.8578989237458;32.8792432473129;66.2628578289413;0
"Forel Klinik";18.5480203589039;78.0161056443328;0;3.43587399676329
"Suchtbehandlung Frankental";11.0063426202923;85.5292230150927;0;3.46443436461497
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";17.5334698976824;79.0268139983494;0;3.43971610396819
"Privatklinik Hohenegg";3.04071919619249;96.9592808038075;0;0
"Total Kanton Zürich";20.9652852221594;72.4592485741874;0.821317135194636;5.75414906845866
"Clienia Privatklinik Littenheid";0;93.9472908042837;0;6.05270919571629
"Klinik Meissenberg";1.44668229423194;97.2222917084221;0;1.33102599734596
"Klinik Sonnenhof";0.236055817501951;85.1764907506394;0;14.5874534318587
