"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";3;7;1;16;0;3;2;7;0;7;4;5;14;0;1;13;7;29;7;4;2;3;0;0;0;135;4295;72;4502
"Psychiatrische Universitätsklinik Zürich - Forensik";5;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;26;2;36
"Integrierte Psychiatrie Winterthur - ZU";6;12;0;2;2;0;1;2;0;2;2;5;29;1;1;10;4;21;15;1;0;3;1;0;0;120;2848;23;2991
"Clienia Privatklinik Schlössli";4;12;0;10;2;1;2;5;2;6;3;4;4;0;0;33;4;17;9;1;0;2;0;0;0;121;2345;10;2476
"Sanatorium Kilchberg";12;27;2;23;4;4;3;18;2;6;5;4;10;2;3;7;10;62;7;3;0;2;0;0;0;216;2065;43;2324
"Psychiatriestützpunkt Spital Affoltern";1;3;2;6;0;2;0;3;1;1;0;0;0;0;1;4;0;9;0;0;1;0;0;0;0;34;213;1;248
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";31;61;5;57;8;10;8;35;5;24;14;18;57;3;6;68;25;138;38;9;3;10;1;0;0;634;11792;151;12577
"Psychiatrische Universitätsklinik Zürich - KJPP";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;291;0;293
"Modellstation SOMOSA";0;2;0;2;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;10;14;0;24
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;1;2;0;0;1;4;0;0;0;2;1;0;0;2;0;7;0;0;0;0;0;0;0;20;39;0;59
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;18;0;21
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;3;1;5;0;0;1;5;0;1;0;2;5;1;0;2;0;8;1;0;0;0;0;0;0;35;362;0;397
"Forel Klinik";0;3;0;7;0;1;3;7;0;5;1;7;20;7;0;28;2;23;46;1;0;2;1;0;0;164;400;4;568
"Suchtbehandlung Frankental";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;3;1;0;0;0;0;0;0;8;160;1;169
"USZ - Zentrum für Essstörungen";0;3;1;1;1;0;1;0;0;1;2;1;0;0;0;7;0;5;1;0;0;0;0;0;0;24;36;0;60
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;7;1;8;1;2;4;7;0;6;3;8;20;7;0;36;3;31;48;1;0;2;1;0;0;196;596;5;797
"Privatklinik Hohenegg";12;26;3;23;1;11;1;17;1;8;7;12;7;2;0;19;3;35;9;2;1;3;0;0;0;203;272;19;494
"Total Kanton Zürich";43;97;10;93;10;23;14;64;6;39;24;40;89;13;6;125;31;212;96;12;4;15;2;0;0;1068;13022;175;14265
"Clienia Privatklinik Littenheid";36;84;27;226;3;3;15;123;2;19;16;15;50;55;11;261;18;70;759;1;0;5;0;0;0;1799;330;31;2160
"Spitäler Schaffhausen";1;4;0;0;0;0;1;0;0;0;1;0;510;1;0;0;0;4;7;0;0;0;0;0;0;529;119;15;663
"Klinik Meissenberg";23;126;14;35;3;4;6;58;1;15;2;2;2;0;0;1;2;120;5;3;0;0;0;0;0;422;152;5;579
"Klinik Sonnenhof";0;0;0;3;0;0;1;0;0;0;0;1;4;7;2;180;2;1;2;0;0;0;0;0;0;203;31;0;234
