"Spitalname";"Austritte";"Anteil in %";"Day Mix Index";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4502;31.5597616543989;0.987956342304168;45.0841848067526;4.35362061306086;95.4020435362061;51.8880497556641
"Psychiatrische Universitätsklinik Zürich - Forensik";36;0.252365930599369;0.939671253399774;38.4444444444444;0;72.2222222222222;13.8888888888889
"Integrierte Psychiatrie Winterthur - ZU";2991;20.9674027339642;1.02606044080803;42.4650618522233;4.14577064526914;95.2189903042461;66.4994984954865
"Clienia Privatklinik Schlössli";2476;17.3571678934455;0.97497000678375;46.0294830371567;12.4394184168013;94.7092084006462;32.875605815832
"Sanatorium Kilchberg";2324;16.291622853137;0.99689253292631;47.6923407917384;15.8347676419966;88.855421686747;50.7314974182444
"Psychiatriestützpunkt Spital Affoltern";248;1.7385208552401;0.980033499197254;40.508064516129;7.25806451612903;85.8870967741936;41.5322580645161
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12577;88.1668419207851;0.991098017890191;45.0201160849169;8.06233601017731;93.7584479605629;51.0932654846148
"Psychiatrische Universitätsklinik Zürich - KJPP";293;2.05397826848931;0;13.6928327645051;0.68259385665529;99.3174061433447;35.8361774744027
"Modellstation SOMOSA";24;0.168243953732913;1.26003342822082;16.7916666666667;0;58.3333333333333;0
"Kispi Zürich - Psychosomatik und Psychiatrie";59;0.41359971959341;1.32087397306576;14.5423728813559;0;66.1016949152542;0
"KSW - Sozialpädiatrisches Zentrum";21;0.147213459516299;1.28290403801145;13.0952380952381;0;85.7142857142857;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";397;2.78303540133193;0.537638552266602;13.9748110831234;0.503778337531486;91.183879093199;26.448362720403
"Forel Klinik";568;3.98177357167893;0.827161900249978;46.7042253521127;0;70.4225352112676;0
"Suchtbehandlung Frankental";169;1.18471784086926;0.99085086162949;35.3609467455621;0;94.6745562130178;0
"USZ - Zentrum für Essstörungen";60;0.420609884332282;0.949964131970806;25.7333333333333;0;60;1.66666666666667
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";797;5.58710129688048;0.8542172346195;42.7202007528231;0;74.7804265997491;0.125470514429109
"Privatklinik Hohenegg";494;3.46302138100245;0.966940148278709;53.2570850202429;98.1781376518219;55.0607287449393;0
"Total Kanton Zürich";14265;100;0.949829207001228;44.3128636522958;10.5222572730459;91.2863652295829;45.7903960743078
"Clienia Privatklinik Littenheid";2160;;;35.7513888888889;6.89814814814815;15.2777777777778;24.212962962963
"Spitäler Schaffhausen";663;;;46.8642533936652;3.92156862745098;17.9487179487179;29.1101055806938
"Klinik Meissenberg";579;;;42.2141623488774;14.853195164076;26.2521588946459;31.2607944732297
"Klinik Sonnenhof";234;;;14.7863247863248;0;13.2478632478632;55.5555555555556
