"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";346;782;315;1031;1133;512;10;322;10;5;36;0;0;4502
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;0;0;0;0;0;0;0;0;36;0;36
"Integrierte Psychiatrie Winterthur - ZU";245;295;123;506;903;558;7;270;17;23;44;0;0;2991
"Clienia Privatklinik Schlössli";177;271;211;354;1014;213;3;203;8;9;13;0;0;2476
"Sanatorium Kilchberg";128;232;135;402;935;356;6;117;8;1;4;0;0;2324
"Psychiatriestützpunkt Spital Affoltern";0;27;19;46;104;36;1;12;0;1;2;0;0;248
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";896;1607;803;2339;4089;1675;27;924;43;39;99;36;0;12577
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;2;5;11;7;0;4;1;0;263;0;0;293
"Modellstation SOMOSA";0;0;2;1;7;2;0;1;0;2;9;0;0;24
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;4;25;28;0;0;1;1;0;0;59
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;9;6;0;0;0;6;0;0;21
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;4;6;22;43;34;5;1;3;279;0;0;397
"Forel Klinik";0;546;22;0;0;0;0;0;0;0;0;0;0;568
"Suchtbehandlung Frankental";0;1;168;0;0;0;0;0;0;0;0;0;0;169
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;60;0;0;0;0;0;0;60
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;547;190;0;0;0;60;0;0;0;0;0;0;797
"Privatklinik Hohenegg";1;2;1;11;386;88;2;1;0;1;1;0;0;494
"Total Kanton Zürich";897;2156;998;2356;4497;1806;123;930;44;43;379;36;0;14265
"Clienia Privatklinik Littenheid";11;90;126;142;910;540;41;200;0;13;84;;3;2160
"Spitäler Schaffhausen";48;113;40;146;134;129;2;46;0;1;1;;3;663
"Klinik Meissenberg";1;3;3;68;340;82;6;73;0;0;3;;0;579
"Klinik Sonnenhof";0;0;3;7;69;49;6;17;0;2;79;;2;234
