"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";212.17;661.306;259.68;164.262;184.184;54.04;1535.642
"Integrierte Psychiatrie Winterthur - ZU";82.388;251.516;113.689;66.29;59.108;12.398;585.389
"Clienia Privatklinik Schlössli";64.544;197.858;79.239;39.832;78.65;10.872;470.995
"Sanatorium Kilchberg";47.142;116.249;50.506;41.24;58.63;4.99;318.757
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";406.244;1226.929;503.114;311.624;380.572;82.3;2910.783
"Modellstation SOMOSA";1.05;5.1;22.91;3.6;1.8;0.6;35.06
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";1.05;5.1;22.91;3.6;1.8;0.6;35.06
"Forel Klinik";14.63;16.583;34.718;17.02;26.28;2.36;111.591
"Suchtbehandlung Frankental";1.24;10.786;1.3;3.64;0.9;0.29;18.156
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";15.87;27.369;36.018;20.66;27.18;2.65;129.747
"Privatklinik Hohenegg";15.18;37.8;12.458;18.75;40.566;3;127.754
"Total Kanton Zürich";438.344;1297.198;574.5;354.634;450.118;88.55;3203.344
"Clienia Privatklinik Littenheid";55.586;183.566;76.473;43.67;69.076;11.66;440.031
"Klinik Meissenberg";14.33;39.242;15.853;9.71;22.866;4;106.001
"Klinik Sonnenhof";4.66;60.985;9.852;5.05;8.39;1.8;90.737
