"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";2023;65.3979238754325;6.62382600098863;18.7345526445872
"Integrierte Psychiatrie Winterthur - ZU";875;68.2285714285714;18.0571428571429;23.5428571428571
"Clienia Privatklinik Schlössli";673;69.6879643387816;21.5453194650817;17.9791976225854
"Sanatorium Kilchberg";456;67.9824561403509;20.3947368421053;8.99122807017544
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4027;67.0225974670971;13.1611621554507;18.5497889247579
"Modellstation SOMOSA";51;43.1372549019608;19.6078431372549;1.96078431372549
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";51;43.1372549019608;19.6078431372549;1.96078431372549
"Forel Klinik";146;73.2876712328767;24.6575342465753;10.2739726027397
"Suchtbehandlung Frankental";36;58.3333333333333;11.1111111111111;5.55555555555556
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";182;70.3296703296703;21.978021978022;9.34065934065934
"Privatklinik Hohenegg";228;72.8070175438597;19.7368421052632;0
"Total Kanton Zürich";4488;67.1791443850267;13.9260249554367;17.0454545454545
"Clienia Privatklinik Littenheid";619;74.9596122778675;26.4943457189015;6.78513731825525
"Klinik Meissenberg";152;75;31.5789473684211;19.7368421052632
"Klinik Sonnenhof";117;69.2307692307692;20.5128205128205;23.9316239316239
