"Spitalname";"2016";"2017";"2018";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";1462.143;1538.542;1535.642;-0.188490141965569
"Integrierte Psychiatrie Winterthur - ZU";571.485;586.525;585.389;-0.193683133711264
"Clienia Privatklinik Schlössli";500.645;493.141;470.995;-4.49080486108436
"Sanatorium Kilchberg";325.1;311.861;318.757;2.21124154671473
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";2859.373;2930.069;2910.783;-0.65820975546993
"Modellstation SOMOSA";32.942;34.556;35.06;1.45850214145158
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";32.942;34.556;35.06;1.45850214145158
"Forel Klinik";103.136;107.788;111.591;3.52822206553607
"Suchtbehandlung Frankental";18.055;17.085;18.156;6.2686567164179
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";121.191;124.873;129.747;3.90316561626614
"Privatklinik Hohenegg";123.898;129.4;127.754;-1.27202472952087
"Total Kanton Zürich";3137.404;3218.898;3203.344;-0.48320884973676
"Clienia Privatklinik Littenheid";396.401;440.031;;11.0065312650574
"Klinik Meissenberg";104.402;106.001;;1.53157985479206
"Klinik Sonnenhof";86.002;90.737;;5.50568591428107
