"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";168;3.73167481119502;1798;39.9378054198134;1879;41.737005775211;411;9.12927587738783;246;5.46423811639271;4502
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;20;55.5555555555556;16;44.4444444444444;0;0;0;0;36
"Integrierte Psychiatrie Winterthur - ZU";353;11.8020728853226;1157;38.6827148111;1025;34.2694750919425;272;9.09394851220328;184;6.15178869943163;2991
"Clienia Privatklinik Schlössli";100;4.03877221324717;913;36.8739903069467;1034;41.7609046849758;272;10.9854604200323;157;6.34087237479806;2476
"Sanatorium Kilchberg";71;3.05507745266781;800;34.4234079173838;1004;43.2013769363167;296;12.736660929432;153;6.58347676419966;2324
"Psychiatriestützpunkt Spital Affoltern";4;1.61290322580645;132;53.2258064516129;96;38.7096774193548;16;6.45161290322581;0;0;248
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";696;5.53391110757732;4820;38.3239246243142;5054;40.1844637035859;1267;10.0739445018685;740;5.88375606265405;12577
"Psychiatrische Universitätsklinik Zürich - KJPP";293;100;0;0;0;0;0;0;0;0;293
"Modellstation SOMOSA";24;100;0;0;0;0;0;0;0;0;24
"Kispi Zürich - Psychosomatik und Psychiatrie";59;100;0;0;0;0;0;0;0;0;59
"KSW - Sozialpädiatrisches Zentrum";21;100;0;0;0;0;0;0;0;0;21
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";397;100;0;0;0;0;0;0;0;0;397
"Forel Klinik";0;0;168;29.5774647887324;377;66.3732394366197;23;4.04929577464789;0;0;568
"Suchtbehandlung Frankental";4;2.36686390532544;117;69.2307692307692;48;28.4023668639053;0;0;0;0;169
"USZ - Zentrum für Essstörungen";11;18.3333333333333;48;80;1;1.66666666666667;0;0;0;0;60
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";15;1.88205771643664;333;41.7816813048933;426;53.4504391468005;23;2.88582183186951;0;0;797
"Privatklinik Hohenegg";1;0.202429149797571;89;18.0161943319838;307;62.1457489878543;76;15.3846153846154;21;4.25101214574899;494
"Total Kanton Zürich";1109;7.77427269540834;5242;36.7472835611637;5787;40.5678233438486;1366;9.57588503329828;761;5.33473536628111;14265
"Clienia Privatklinik Littenheid";508;23.5185185185185;786;36.3888888888889;750;34.7222222222222;92;4.25925925925926;24;1.11111111111111;2160
"Spitäler Schaffhausen";25;3.77073906485671;220;33.1825037707391;309;46.606334841629;74;11.1613876319759;35;5.2790346907994;663
"Klinik Meissenberg";51;8.80829015544041;205;35.405872193437;262;45.2504317789292;41;7.08117443868739;20;3.45423143350604;579
"Klinik Sonnenhof";234;100;0;0;0;0;0;0;0;0;234
