"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";236752.677;243465.464;249653.384;2.54160072576044
"Integrierte Psychiatrie Winterthur - ZU";100839.611;96736.266;96584.687;-0.156693044157807
"Clienia Privatklinik Schlössli";78405.049;76484.989;79501.524;3.94395689852294
"Sanatorium Kilchberg";54585.737;56632.583;58300.185;2.9445981653353
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";470583.074;473319.302;484039.78;2.2649568599254
"Modellstation SOMOSA";5567.633;5581.538;5918.584;6.03858649712676
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";5567.633;5581.538;5918.584;6.03858649712676
"Forel Klinik";19537.892;20584.967;22559.11;9.59021697727278
"Suchtfachklinik Zürich";3269.706;6816.213;7741.417;13.5735781730999
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";22807.598;27401.18;30300.527;10.5811027116351
"Privatklinik Hohenegg";23063.431;23732.912;23911.634;0.753055503681965
"Total Kanton Zürich";522021.736;530034.932;544170.525;2.66691724386197
"Clienia Privatklinik Littenheid";73143.113;73396.604;;0.346568514249612
"Klinik Meissenberg";15958.098;16651.5;;4.34514188345001
"Klinik Sonnenhof";14133.775;14247.758;;0.806458288744505
