"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";2867;561;377;318;126;52;4301
"Psychiatrische Universitätsklinik Zürich - Forensik";14;10;6;2;13;2;47
"Integrierte Psychiatrie Winterthur - ZU";273;2665;224;108;129;20;3419
"Clienia Privatklinik Schlössli";320;260;1828;87;104;10;2609
"Sanatorium Kilchberg";578;221;245;815;187;20;2066
"Zentrum für Psychiatrie und Psychotherapie Affoltern";92;34;44;188;63;1;422
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4144;3751;2724;1518;622;105;12864
"Psychiatrische Universitätsklinik Zürich - KJPP";141;84;98;44;7;1;375
"Modellstation SOMOSA";4;6;4;1;10;0;25
"Kispi Zürich - Psychosomatik und Psychiatrie";6;9;13;11;13;0;52
"KSW - Sozialpädiatrisches Zentrum";2;17;4;0;2;0;25
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";153;116;119;56;32;1;477
"Forel Klinik";141;151;79;56;161;4;592
"Suchtfachklinik Zürich";56;37;28;20;9;1;151
"USZ - Zentrum für Essstörungen";6;9;4;0;25;0;44
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";203;197;111;76;195;5;787
"Privatklinik Hohenegg";110;60;64;35;209;9;487
"Total Kanton Zürich";4610;4124;3018;1685;1058;120;14615
"Clienia Privatklinik Littenheid";0;0;0;0;0;2162;2162
"Spitäler Schaffhausen";0;0;0;0;0;776;776
"Klinik Meissenberg";0;0;0;0;0;518;518
"Klinik Sonnenhof";0;0;0;0;0;224;224
