"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";84069;17857;10863;9387;2989;720;125885
"Psychiatrische Universitätsklinik Zürich - Forensik";9870;7354;3006;2224;10648;137;33239
"Integrierte Psychiatrie Winterthur - ZU";5692;60663;5542;2341;3668;205;78111
"Clienia Privatklinik Schlössli";10797;10543;53939;3269;4279;267;83094
"Sanatorium Kilchberg";19105;7706;7337;22796;7172;486;64602
"Zentrum für Psychiatrie und Psychotherapie Affoltern";1832;944;921;3722;2282;6;9707
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";131365;105067;81608;43739;31038;1821;394638
"Psychiatrische Universitätsklinik Zürich - KJPP";7640;4586;4343;2146;649;106;19470
"Modellstation SOMOSA";756;933;913;291;2176;0;5069
"Kispi Zürich - Psychosomatik und Psychiatrie";487;641;1070;814;864;0;3876
"KSW - Sozialpädiatrisches Zentrum";203;1110;269;0;240;0;1822
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";9086;7270;6595;3251;3929;106;30237
"Forel Klinik";7896;8643;4244;3428;9724;135;34070
"Suchtfachklinik Zürich";3171;2718;1558;946;190;21;8604
"USZ - Zentrum für Essstörungen";500;729;285;88;2062;0;3664
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";11567;12090;6087;4462;11976;156;46338
"Privatklinik Hohenegg";5367;2999;3090;1799;10014;330;23599
"Total Kanton Zürich";157385;127426;97380;53251;56957;2413;494812
"Clienia Privatklinik Littenheid";0;0;0;0;0;82956;82956
"Spitäler Schaffhausen";0;0;0;0;0;21403;21403
"Klinik Meissenberg";0;0;0;0;0;25198;25198
"Klinik Sonnenhof";0;0;0;0;0;13587;13587
