"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";238114.708;245888.836;246931.493;0.424035924916888
"Integrierte Psychiatrie Winterthur - ZU";101195.101;103842.033;96581.02;-6.99236406513729
"Clienia Privatklinik Schlössli";81855.489;79870.88;83595.317;4.66307244893256
"Sanatorium Kilchberg";56738.373;60997.749;60095.378;-1.47935131180004
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";477903.671;490599.498;487203.208;-0.692273435632429
"Modellstation SOMOSA";5650.571;5823.076;5943.708;2.07161987925282
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";5650.571;5823.076;5943.708;2.07161987925282
"Forel Klinik";19584.827;21210.793;22617.531;6.63218013583935
"Suchtfachklinik Zürich";3408.663;4867.97;6462.372;32.7529134320877
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";22993.49;26078.763;29079.903;11.5079844853071
"Privatklinik Hohenegg";22957.523;24340.685;23785.681;-2.28014946991014
"Total Kanton Zürich";529505.255;546842.022;546012.5;-0.15169317035405
"Clienia Privatklinik Littenheid";74701.314;78155.294;;4.62372054124778
"Klinik Meissenberg";16441.541;17129.756;;4.18583026980257
"Klinik Sonnenhof";14196.666;15955.293;;12.3876056533273
