"Spitalname";"Austritte";"Anteil in %";"Day Mix Index";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4301;29.4286691755046;1.00683753338862;44.6149732620321;1.99953499186236;96.1171820506859;57.9400139502441
"Psychiatrische Universitätsklinik Zürich - Forensik";47;0.321587410195005;0.977594484339308;37.0212765957447;0;70.2127659574468;4.25531914893617
"Integrierte Psychiatrie Winterthur - ZU";3419;23.3937735203558;1.08625352906431;42.1775372916057;5.1769523252413;95.6420005849664;71.5413863702837
"Clienia Privatklinik Schlössli";2609;17.8515224084844;1.00857327232609;45.8512840168647;12.6101954771943;95.2855500191644;38.3288616328095
"Sanatorium Kilchberg";2066;14.1361614779336;1.00159505353706;47.8901258470474;17.6185866408519;89.9806389157793;42.2555663117135
"Zentrum für Psychiatrie und Psychotherapie Affoltern";422;2.88744440643175;1.07248884655941;39.7274881516588;3.7914691943128;84.8341232227488;37.6777251184834
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12864;88.0191583989052;1.02197775170779;44.5558146766169;7.55597014925373;94.3718905472637;54.1977611940298
"Psychiatrische Universitätsklinik Zürich - KJPP";375;2.56585699623674;1.43942659317999;13.8453333333333;0;97.8666666666667;52
"Modellstation SOMOSA";25;0.17105713308245;1.45040746603032;15.96;0;60;0
"Kispi Zürich - Psychosomatik und Psychiatrie";52;0.355798836811495;1.46998569942406;14.5769230769231;13.4615384615385;75;0
"KSW - Sozialpädiatrisches Zentrum";25;0.17105713308245;1.4846747397325;14.28;4;92;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";477;3.26377009921314;1.44744859710857;14.0587002096436;1.67714884696017;93.0817610062893;40.8805031446541
"Forel Klinik";592;4.05063291139241;0.87082360502724;46.0996621621622;0;72.1283783783784;0
"Suchtfachklinik Zürich";151;1.033185083818;0.943355098290455;34.8675496688742;0;93.3774834437086;0
"USZ - Zentrum für Essstörungen";44;0.301060554225111;0.989494368306942;24.5;2.27272727272727;43.1818181818182;2.27272727272727
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";787;5.38487854943551;0.893373443462761;42.7369758576874;0.127064803049555;74.5870393900889;0.127064803049555
"Privatklinik Hohenegg";487;3.33219295244612;0.9434615239501;52.7864476386037;100;55.2361396303901;0
"Total Kanton Zürich";14615;100;1.03202875389171;43.7367772836127;10.0444748546014;91.9603147451249;49.0455011973999
"Clienia Privatklinik Littenheid";2162;;1.0864333296523;35.5013876040703;6.98427382053654;14.9398704902868;24.1443108233117
"Spitäler Schaffhausen";776;;0.989398515523978;47.4317010309278;3.47938144329897;20.8762886597938;40.3350515463918
"Klinik Meissenberg";518;;0.958763629934889;39.6196911196911;13.8996138996139;33.2046332046332;19.6911196911197
"Klinik Sonnenhof";224;;1.5166057745091;14.6473214285714;0;17.4107142857143;57.1428571428571
