"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";6341;5.0371370695476;45031;35.7715375143981;50811;40.3630297493744;15603;12.3946459069786;8099;6.43364975970132;125885
"Psychiatrische Universitätsklinik Zürich - Forensik";480;1.4440867655465;23256;69.9660037907278;8416;25.3196546225819;1087;3.27025482114384;0;0;33239
"Integrierte Psychiatrie Winterthur - ZU";12813;16.4035795214502;22431;28.7168260552291;25500;32.6458501363444;10416;13.3348696086339;6951;8.89887467834236;78111
"Clienia Privatklinik Schlössli";3285;3.95335403278215;27784;33.4368305774183;37073;44.6157363949262;9395;11.3064721881243;5557;6.68760680674898;83094
"Sanatorium Kilchberg";2044;3.16398873099904;20575;31.8488591684468;29572;45.7756725797963;8367;12.9516114052197;4044;6.25986811553822;64602
"Zentrum für Psychiatrie und Psychotherapie Affoltern";218;2.24580199855774;5813;59.8846193468631;3627;37.3647882971052;43;0.442979293293499;6;0.0618110641804883;9707
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";25181;6.3807844150842;144890;36.7146600175351;154999;39.276248105859;44911;11.3803029611948;24657;6.24800450032688;394638
"Psychiatrische Universitätsklinik Zürich - KJPP";19470;100;0;0;0;0;0;0;0;0;19470
"Modellstation SOMOSA";5069;100;0;0;0;0;0;0;0;0;5069
"Kispi Zürich - Psychosomatik und Psychiatrie";3876;100;0;0;0;0;0;0;0;0;3876
"KSW - Sozialpädiatrisches Zentrum";1822;100;0;0;0;0;0;0;0;0;1822
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";30237;100;0;0;0;0;0;0;0;0;30237
"Forel Klinik";0;0;10836;31.8051071323745;22217;65.2098620487232;1017;2.98503081890226;0;0;34070
"Suchtfachklinik Zürich";618;7.18270571827057;4951;57.5430032543003;3035;35.2742910274291;0;0;0;0;8604
"USZ - Zentrum für Essstörungen";1177;32.1233624454148;2318;63.264192139738;169;4.61244541484716;0;0;0;0;3664
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";1795;3.87371056152618;18105;39.0716042988476;25421;54.8599421640986;1017;2.19474297552764;0;0;46338
"Privatklinik Hohenegg";106;0.44917157506674;4409;18.6829950421628;14643;62.0492393745498;3866;16.3820500868681;575;2.4365439213526;23599
"Total Kanton Zürich";57319;11.5839955376992;167404;33.8318391631569;195063;39.4216389254909;49794;10.0632159284738;25232;5.09931044517918;494812
"Clienia Privatklinik Littenheid";23170;27.9304691643763;27036;32.5907710111384;25753;31.0441679926708;5193;6.25994503110083;1804;2.17464680071363;82956
"Spitäler Schaffhausen";860;4.01812829977106;7763;36.2706162687474;9025;42.166985936551;2815;13.1523618184367;940;4.39190767649395;21403
"Klinik Meissenberg";1629;6.46479879355504;11206;44.471783474879;10932;43.3843955869513;1402;5.56393364552742;29;0.115088499087229;25198
"Klinik Sonnenhof";13587;100;0;0;0;0;0;0;0;0;13587
