"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Überlieger ohne Diagnose";"Total"
"Psychiatrische Universitätsklinik Zürich";11269;21125;8315;32718;33098;8689;129;8869;535;456;682;0;0;0;125885
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;727;0;0;0;0;0;0;0;32512;0;0;33239
"Integrierte Psychiatrie Winterthur - ZU";9479;4521;2499;14777;26360;11026;200;7475;157;690;920;0;7;0;78111
"Clienia Privatklinik Schlössli";5885;7607;3966;10819;34392;8319;212;5919;315;288;149;0;0;5223;83094
"Sanatorium Kilchberg";3753;3758;2786;8624;29321;10151;122;1887;119;107;208;0;0;3766;64602
"Zentrum für Psychiatrie und Psychotherapie Affoltern";22;1381;216;1181;2455;602;3105;433;0;6;0;0;0;306;9707
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";30408;38392;17782;68846;125626;38787;3768;24583;1126;1547;1959;32512;7;9295;394638
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;323;636;8152;2785;422;1204;0;1003;4945;0;0;0;19470
"Modellstation SOMOSA";0;0;51;88;1191;254;0;194;0;26;995;0;0;2270;5069
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;470;846;1699;0;0;0;97;0;0;764;3876
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;48;252;1115;17;0;116;274;0;0;0;1822
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;374;724;9861;4137;3236;1415;0;1145;6311;0;0;3034;30237
"Forel Klinik";0;28187;1586;0;0;0;0;0;0;0;0;0;0;4297;34070
"Suchtfachklinik Zürich";0;11;7542;0;0;0;0;0;0;0;0;0;0;1051;8604
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;3039;0;0;0;0;0;0;625;3664
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;28198;9128;0;0;0;3039;0;0;0;0;0;0;5973;46338
"Privatklinik Hohenegg";0;41;23;288;17783;3783;0;42;0;36;249;0;0;1354;23599
"Total Kanton Zürich";30408;66631;27307;69858;153270;46707;10043;26040;1126;2728;8519;32512;7;19656;494812
"Clienia Privatklinik Littenheid";819;2085;3403;3747;32129;18837;1578;8936;26;189;3750;0;0;7457;82956
"Spitäler Schaffhausen";1077;2780;1410;4080;6436;2028;7;939;34;243;67;0;108;2194;21403
"Klinik Meissenberg";0;0;0;1148;16035;2868;1;2441;0;0;105;0;0;2600;25198
"Klinik Sonnenhof";0;2;0;463;499;157;296;16;6;425;9958;0;0;1765;13587
