"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";4295;4387;4134;-5.767038978801
"Psychiatrische Universitätsklinik Zürich - Forensik";26;36;33;-8.33333333333334
"Integrierte Psychiatrie Winterthur - ZU";2848;3090;3270;5.8252427184466
"Clienia Privatklinik Schlössli";2345;2374;2486;4.71777590564448
"Sanatorium Kilchberg";2065;1985;1859;-6.34760705289672
"Zentrum für Psychiatrie und Psychotherapie Affoltern";213;275;358;30.1818181818182
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";11792;12147;12140;-0.0576273977113684
"Psychiatrische Universitätsklinik Zürich - KJPP";291;328;367;11.890243902439
"Modellstation SOMOSA";14;21;15;-28.5714285714286
"Kispi Zürich - Psychosomatik und Psychiatrie";39;40;39;-2.5
"KSW - Sozialpädiatrisches Zentrum";18;28;23;-17.8571428571429
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";362;417;444;6.4748201438849
"Forel Klinik";400;444;427;-3.82882882882883
"Suchtfachklinik Zürich";160;128;141;10.15625
"USZ - Zentrum für Essstörungen";36;33;19;-42.4242424242424
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";596;605;587;-2.97520661157025
"Privatklinik Hohenegg";272;260;269;3.46153846153847
"Zürcher PatientInnen im Kanton Zürich";13022;13429;13440;0.0819122793953353
"Clienia Privatklinik Littenheid";355;323;;-9.01408450704225
"Spitäler Schaffhausen";168;162;;-3.57142857142857
"Klinik Meissenberg";164;172;;4.87804878048781
"Klinik Sonnenhof";41;39;;-4.87804878048781
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";1166;1177;;0.943396226415105
"Total Zürcher PatientInnen";14916;15302;13440;
