"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";922;76.7060737527115;17.0281995661605;31.4956616052061;27659
"F10 Alkohol";2211;46.7132519222071;0.633197648123021;29.8276797829037;62472
"F11-F19 Drogen";1045;35.1846889952153;1.14832535885167;25.0153110047847;24255
"F2 Schizophrenie";2438;42.453650533224;3.73256767842494;37.1316652994258;82793
"F3 affektive Störungen";5156;45.5230799069046;14.7013188518231;35.4522885958107;170557
"F4 neurotische Störungen";1905;37.8797900262467;10.498687664042;26.3060367454068;46086
"F5 Verhaltensauffälligkeiten";205;28.1951219512195;14.1463414634146;55.9219512195122;10525
"F6 Persönlichkeitsstörungen";992;31.7933467741935;4.23387096774194;32.7550403225806;30507
"F7 Intelligenzstörungen";57;34.9473684210526;0;24.0701754385965;1244
"F8 Entwicklungsstörungen";69;25.2028985507246;2.89855072463768;39.5217391304348;2688
"F9 Störungen mit Beginn in Kindheit";239;15.418410041841;1.67364016736402;49.7907949790795;10785
"Forensik";32;32.71875;0;464.375;21874
"Andere";31;52.9677419354839;22.5806451612903;37.5806451612903;20622
"Total";15302;43.6921970984185;8.60018298261665;34.017906156058;512067
