"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";232;5.39409439665194;1724;40.0837014647756;1698;39.4791908858405;407;9.46291560102302;240;5.5800976517089;4301
"Psychiatrische Universitätsklinik Zürich - Forensik";1;2.12765957446809;27;57.4468085106383;18;38.2978723404255;1;2.12765957446809;0;0;47
"Integrierte Psychiatrie Winterthur - ZU";475;13.8929511553086;1223;35.7706931851419;1218;35.6244515940333;299;8.74524714828897;204;5.96665691722726;3419
"Clienia Privatklinik Schlössli";111;4.25450364124185;946;36.2591031046378;1134;43.464929091606;267;10.2338060559601;151;5.78765810655424;2609
"Sanatorium Kilchberg";76;3.67860600193611;713;34.5111326234269;859;41.5779283639884;261;12.6331074540174;157;7.59922555663117;2066
"Zentrum für Psychiatrie und Psychotherapie Affoltern";10;2.3696682464455;229;54.2654028436019;177;41.9431279620853;3;0.710900473933649;3;0.710900473933649;422
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";905;7.0351368159204;4862;37.7953980099502;5104;39.6766169154229;1238;9.62375621890547;755;5.869092039801;12864
"Psychiatrische Universitätsklinik Zürich - KJPP";375;100;0;0;0;0;0;0;0;0;375
"Modellstation SOMOSA";25;100;0;0;0;0;0;0;0;0;25
"Kispi Zürich - Psychosomatik und Psychiatrie";52;100;0;0;0;0;0;0;0;0;52
"KSW - Sozialpädiatrisches Zentrum";25;100;0;0;0;0;0;0;0;0;25
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";477;100;0;0;0;0;0;0;0;0;477
"Forel Klinik";0;0;186;31.4189189189189;383;64.6959459459459;23;3.88513513513514;0;0;592
"Suchtfachklinik Zürich";11;7.28476821192053;92;60.9271523178808;48;31.7880794701987;0;0;0;0;151
"USZ - Zentrum für Essstörungen";13;29.5454545454545;27;61.3636363636364;4;9.09090909090909;0;0;0;0;44
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";24;3.04955527318933;305;38.7547649301144;435;55.2731893265565;23;2.92249047013977;0;0;787
"Privatklinik Hohenegg";2;0.410677618069815;91;18.6858316221766;298;61.1909650924025;86;17.6591375770021;10;2.05338809034908;487
"Total Kanton Zürich";1408;9.63393773520356;5258;35.9767362299008;5837;39.9384194320903;1347;9.21655833048238;765;5.23434827232296;14615
"Clienia Privatklinik Littenheid";522;24.1443108233117;805;37.2340425531915;698;32.2849213691027;98;4.53283996299722;39;1.80388529139685;2162
"Spitäler Schaffhausen";29;3.73711340206186;283;36.4690721649485;306;39.4329896907216;111;14.3041237113402;47;6.05670103092783;776
"Klinik Meissenberg";43;8.3011583011583;231;44.5945945945946;206;39.7683397683398;36;6.94980694980695;2;0.386100386100386;518
"Klinik Sonnenhof";224;100;0;0;0;0;0;0;0;0;224
