"Spitalname";"F0 organische Störungen";"F10 Alkohol";"F11-F19 Drogen";"F2 Schizophrenie";"F3 affektive Störungen";"F4 neurotische Störungen";"F5 Verhaltensauffälligkeiten";"F6 Persönlichkeitsstörungen";"F7 Intelligenzstörungen";"F8 Entwicklungsstörungen";"F9 Störungen mit Beginn in Kindheit";"Forensik";"Andere";"Total"
"Psychiatrische Universitätsklinik Zürich";312;775;341;904;1111;483;7;312;22;13;21;0;0;4301
"Psychiatrische Universitätsklinik Zürich - Forensik";0;0;0;4;0;0;0;0;0;0;0;43;0;47
"Integrierte Psychiatrie Winterthur - ZU";274;329;195;602;1075;567;8;289;9;25;41;0;5;3419
"Clienia Privatklinik Schlössli";181;342;170;419;1026;228;6;201;19;8;9;0;0;2609
"Sanatorium Kilchberg";167;196;138;303;801;326;4;110;10;3;8;0;0;2066
"Zentrum für Psychiatrie und Psychotherapie Affoltern";3;90;16;62;112;36;80;22;0;1;0;0;0;422
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";937;1732;860;2294;4125;1640;105;934;60;50;79;43;5;12864
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;2;17;168;52;7;28;0;21;80;0;0;375
"Modellstation SOMOSA";0;0;1;2;6;2;0;2;0;1;11;0;0;25
"Kispi Zürich - Psychosomatik und Psychiatrie";0;0;0;0;9;15;26;0;0;0;2;0;0;52
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;2;4;12;1;0;1;5;0;0;25
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;0;3;19;185;73;45;31;0;23;98;0;0;477
"Forel Klinik";0;564;28;0;0;0;0;0;0;0;0;0;0;592
"Suchtfachklinik Zürich";0;1;150;0;0;0;0;0;0;0;0;0;0;151
"USZ - Zentrum für Essstörungen";0;0;0;0;0;0;44;0;0;0;0;0;0;44
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";0;565;178;0;0;0;44;0;0;0;0;0;0;787
"Privatklinik Hohenegg";0;2;1;7;380;90;0;2;0;1;4;0;0;487
"Total Kanton Zürich";937;2299;1042;2320;4690;1803;194;967;60;74;181;43;5;14615
"Clienia Privatklinik Littenheid";24;90;147;122;844;561;25;241;2;7;99;;0;2162
"Spitäler Schaffhausen";54;120;62;145;192;135;1;51;3;3;4;;6;776
"Klinik Meissenberg";0;0;0;28;354;72;1;62;0;0;1;;0;518
"Klinik Sonnenhof";0;1;0;4;11;4;4;1;1;3;195;;0;224
