"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Zürcher RehaZentrum Wald";1.874293773172;91.9603347429045;0;6.16537148392351
"RehaClinic Zollikerberg";7.36042423546289;91.5443677714064;0;1.09520799313075
"RehaClinic Kilchberg";2.56571890222104;97.0461773251132;0;0.388103772665779
"RehaClinic Limmattal";0;98.5134924439691;0;1.48650755603091
"Total Kanton Zürich";2.45085775470172;92.5891962114466;0;4.95994603385164
"RehaClinic Zurzach";7.35521257474779;86.8128603152304;0;5.83192711002186
"RehaClinic Baden";5.61545487539564;93.6159385174457;0;0.76860660715869
"Rehaklinik Bellikon";17.9234797897344;78.3044039905758;0;3.77211621968983
"aarReha Schinznach";9.39940654525931;90.0134279920809;0;0.587165462659809
"Reha Rheinfelden";12.3771686749037;87.3031325521906;0;0.319698772905748
"Klinik Gais";7.20919893715161;92.7908010628484;0;0
"Rheinburg-Klinik";8.7720998762354;90.7852643534619;0;0.442635770302671
"REHAB Basel";9.00982782452555;90.3450939373427;0;0.64507823813178
"Zürcher RehaZentrum Davos";2.47015363859454;90.1250874633079;0;7.40475889809754
"Reha Seewis";3.02297708405288;96.1912435357779;0;0.785779380169175
"Kliniken Valens, Rehazentrum Valens";8.57190978489169;85.2944555415267;0;6.13363467358164
"Rehaklinik Dussnang";15.3027062209339;80.1218550717969;0;4.57543870726918
"Rehaklinik Zihlschlacht";5.90668213375051;93.2125513385669;0;0.880766527682569
