"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Zürcher RehaZentrum Wald";385;75.3246753246753;22.0779220779221;15.5844155844156
"RehaClinic Zollikerberg";63;79.3650793650794;36.5079365079365;1.58730158730159
"RehaClinic Kilchberg";78;80.7692307692308;42.3076923076923;5.12820512820513
"RehaClinic Limmattal";29;72.4137931034483;31.0344827586207;0
"Total Kanton Zürich";555;76.3963963963964;27.027027027027;11.7117117117117
"RehaClinic Zurzach";440;79.5454545454545;50.4545454545455;7.04545454545454
"RehaClinic Baden";110;79.0909090909091;40.9090909090909;8.18181818181818
"Rehaklinik Bellikon";573;72.6003490401396;25.130890052356;10.1221640488656
"aarReha Schinznach";318;85.8490566037736;17.2955974842767;12.2641509433962
"Reha Rheinfelden";588;73.8095238095238;33.3333333333333;13.9455782312925
"Klinik Gais";213;79.81220657277;28.6384976525822;3.28638497652582
"Rheinburg-Klinik";172;80.8139534883721;34.3023255813954;4.65116279069767
"REHAB Basel";514;80.3501945525292;43.9688715953307;11.0894941634241
"Zürcher RehaZentrum Davos";231;66.6666666666667;31.6017316017316;9.95670995670996
"Reha Seewis";98;79.5918367346939;18.3673469387755;7.14285714285714
"Kliniken Valens, Rehazentrum Valens";614;73.1270358306189;22.4755700325733;9.28338762214984
"Rehaklinik Dussnang";215;21.3953488372093;17.6744186046512;3.72093023255814
"Rehaklinik Zihlschlacht";422;82.4644549763033;31.9905213270142;8.53080568720379
