"RehaLG";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"MAHD (Tage)";"Anzahl Pflegetage"
"Internistisch-onkologisch";1447;68.4402211472011;37.8714581893573;19.9585348997927;28006
"Kardiovaskulär";1363;69.8180484225972;32.061628760088;21.0939104915627;27916
"Muskuloskelettal";5244;71.5888634630053;42.9061784897025;21.6100305110603;109649
"Neurologisch";2225;67.0130337078652;33.7078651685393;36.0188764044944;74771
"Psychosomatisch-sozialmedizinisch";465;49.5784946236559;16.989247311828;32.258064516129;14304
"Pulmonal";639;67.3552425665102;27.8560250391236;20.3192488262911;12814
"Querschnittslähmung";132;59.4772727272727;34.8484848484849;46.3106060606061;5741
"Allgemein pädiatrisch";30;10.6666666666667;13.3333333333333;64.9666666666667;1921
"Neurologisch inkl. Neuro-orthopädisch (Kinder)";37;8.13513513513514;18.9189189189189;45.7027027027027;1579
"Übrige Rehabilitation";347;65.1095100864553;36.3112391930836;24.4524495677233;26884
"Total Zürcher PatientInnen";11929;68.3938301617906;37.0944756475815;24.9239668035879;303585
