"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";2168;2215;2248;1.48984198645599
"RehaClinic Zollikerberg";520;576;577;0.173611111111116
"RehaClinic Kilchberg";294;294;282;-4.08163265306123
"RehaClinic Limmattal";;;35;
"Universitätsklinik Balgrist";383;417;378;-9.35251798561151
"Klinik Susenberg";330;313;264;-15.6549520766773
"Kinderspital Zürich";192;191;194;1.57068062827226
"Klinik Lengg";499;478;505;5.64853556485356
"Total Kanton Zürich";4386;4484;4483;-0.0223015165031204
"RehaClinic Zurzach";2870;2810;;-2.09059233449478
"RehaClinic Baden";816;1105;;35.4166666666667
"Rehaklinik Bellikon";1506;1534;;1.85922974767596
"aarReha Schinznach";1538;1578;;2.60078023407022
"Reha Rheinfelden";2133;2094;;-1.82841068917018
"Klinik Gais";1085;1020;;-5.99078341013825
"Rheinburg-Klinik";771;738;;-4.28015564202334
"REHAB Basel";474;486;;2.53164556962024
"Zürcher RehaZentrum Davos";1484;1528;;2.96495956873315
"Reha Seewis";790;700;;-11.3924050632911
"Kliniken Valens, Rehazentrum Valens";2792;2816;;0.859598853868193
"Rehaklinik Dussnang";1869;1950;;4.3338683788122
"Rehaklinik Zihlschlacht";1100;1124;;2.18181818181817
