"Spitalname";"Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2248;70.3665480427046;23.6209964412811;81.3612099644128
"RehaClinic Zollikerberg";577;76.213171577123;42.8076256499133;94.4540727902946
"RehaClinic Kilchberg";282;73.677304964539;26.241134751773;86.8794326241135
"RehaClinic Limmattal";35;45.6857142857143;25.7142857142857;71.4285714285714
"Universitätsklinik Balgrist";378;60.0582010582011;37.037037037037;74.0740740740741
"Klinik Susenberg";264;71.4166666666667;48.1060606060606;87.8787878787879
"Kinderspital Zürich";194;9.54639175257732;15.4639175257732;36.5979381443299
"Klinik Lengg";505;67.1267326732673;32.2772277227723;89.3069306930693
"Total Kanton Zürich";4483;67.3303591345081;29.4668748605844;82.0432745929065
"RehaClinic Zurzach";2810;67.4743772241993;34.9110320284698;42.5266903914591
"RehaClinic Baden";1105;75.537556561086;16.9230769230769;53.0316742081448
"Rehaklinik Bellikon";1534;46.222294654498;16.1668839634941;29.8565840938722
"aarReha Schinznach";1578;72.1096324461343;23.7008871989861;15.7160963244613
"Reha Rheinfelden";2094;67.3710601719198;26.9340974212034;1.81470869149952
"Klinik Gais";1020;65.0578431372549;21.7647058823529;17.6470588235294
"Rheinburg-Klinik";738;70.710027100271;44.7154471544715;4.6070460704607
"REHAB Basel";486;54.4855967078189;18.7242798353909;2.05761316872428
"Zürcher RehaZentrum Davos";1528;60.7048429319372;20.2879581151832;52.4869109947644
"Reha Seewis";700;64.9514285714286;21;38
"Kliniken Valens, Rehazentrum Valens";2816;64.1242897727273;23.5440340909091;11.328125
"Rehaklinik Dussnang";1950;75.2687179487179;25.2307692307692;48.4102564102564
"Rehaklinik Zihlschlacht";1124;65.4564056939502;31.1387900355872;28.6476868327402
