"Tabelle R2.1 Personalbestand in VZÄ 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, ausserkantonale Kliniken Daten 2017-2018"
"Tabelle R2.2 Personalbestand in VZÄ nach Berufsgruppen 2019";"Krankenhausstatistik KS Daten 2019, ausserkantonale Kliniken: Daten 2018"
"Tabelle R2.3 Beschäftigte am 31. Dezember 2019 nach Geschlecht, Diplomherkunft und Ausbildungsstatus";"Krankenhausstatistik KS Daten 2019, ausserkantonale Kliniken Daten 2018"
"Tabelle R3.1 Kostenverteilung nach Leistungsart 2019";"Krankenhausstatistik KS Daten 2019, ausserkantonale Kliniken Daten 2018"
"Tabelle R3.2 Betriebsaufwand in 1000 Fr. 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, ausserkantonale Kliniken Daten 2017-2018"
"Tabelle R3.3 Betriebsertrag in 1000 Fr. 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, ausserkantonale Kliniken Daten 2017-2018"
"Tabelle R4.1 Austritte 2017 -- 2019";"Medizinische Statistik MS / SDEP Daten 2017-2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle R4.2 Austritte und verschiedene Merkmale 2019";"Medizinische Statistik MS / SDEP Daten 2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2018"
"Tabelle R4.3 Austritte nach Herkunftskanton 2019";"Medizinische Statistik MS / SDEP Daten 2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2018"
"Tabelle R4.4 Austritte nach Altersgruppe 2019";"Medizinische Statistik MS / SDEP Daten 2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2018"
"Tabelle R4.5 Pflegetage 2017 -- 2019";"Medizinische Statistik MS / SDEP Daten 2017-2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle R4.6 Pflegetage nach Altersgruppe 2019";"Medizinische Statistik MS / SDEP Daten 2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2018"
"Tabelle R4.7 Bettenbestand 2017 -- 2019";"Krankenhausstatistik KS Daten 2017-2019, ausserkantonale Kliniken: Daten 2017-2018"
"Tabelle R4.8 Bettenbelegung 2017 -- 2019";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2017-2019, Pflegetage: Medizinische Statistik MS / SDEP Daten 2017-2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle R5.1 Austritte der Zürcher Wohnbevölkerung 2017 -- 2019";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2017-2019, Pflegetage: Medizinische Statistik MS / SDEP Daten 2017-2019, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2017-2018"
"Tabelle R5.2 Austritte, Pflegetage und verschiedene Merkmale der Zürcher Wohnbevölkerung nach Leistungsbereichen 2018";"Bettenbetriebstage: Krankenhausstatistik KS Daten 2018, Pflegetage: Medizinische Statistik MS / SDEP Daten 2018, ausserkantonale Kliniken: Medizinische Statistik BFS Daten 2018"
