"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentrum Wald";24.176;108.232;57.165;42.58;56.768;5.79;294.711
"RehaClinic Zollikerberg";2.09;18.17;14.606;4.8;6.2;1.66;47.526
"RehaClinic Kilchberg";4.9;27.94;19.728;1.93;6.5;0;60.998
"RehaClinic Limmattal";0.71;5.37;1.24;0.94;1.58;0;9.84
"in %";0.0771675845790716;0.386641651031895;0.224508866428615;0.121648611027053;0.171997821218907;0.0180354657144586;1
"Total Kanton Zürich";31.876;159.712;92.739;50.25;71.048;7.45;413.075
"RehaClinic Zurzach";29.56;103.97;100.115;31.83;55.24;2.042;322.757
"RehaClinic Baden";8.06;28.93;20.362;4.24;20.86;0;82.452
"Rehaklinik Bellikon";38.01;104.456;128.543;76.884;74.334;16.53;438.757
"aarReha Schinznach";17.984;62.042;38.97;29.216;35.216;3.5;186.928
"Reha Rheinfelden";21.606;147.129;130.9;63.68;64.966;16.51;444.791
"Klinik Gais";18.57;17.926;33.318;23.946;45.162;0;138.922
"Rheinburg-Klinik";8.46;48.42;34.28;13.81;24.784;1;130.754
"REHAB Basel";28.47;162.045;84.392;53.982;37.68;9.87;376.439
"Zürcher RehaZentrum Davos";14.826;45.899;26.542;30.93;53.268;5.9;177.365
"Reha Seewis";6.946;17.123;8.736;8.55;28.952;1.5;71.807
"Kliniken Valens, Rehazentrum Valens";40.646;198.18;103.45;76.678;95.95;18.58;533.484
"Rehaklinik Dussnang";11.32;61.774;41.82;19.01;76.534;4.4;214.858
"Rehaklinik Zihlschlacht";19.23;142.269;86.892;12.85;42.692;0;303.933
