"Spitalname";"2017";"2018";"2019";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";47445;49910;51870;3.92706872370268
"RehaClinic Zollikerberg";11474;11508;11757;2.16371220020855
"RehaClinic Kilchberg";11631;11627;11647;0.172013417046535
"RehaClinic Limmattal";;;1447;
"Universitätsklinik Balgrist";13403;14129;14426;2.10205959374337
"Klinik Susenberg";6231;6016;5070;-15.7247340425532
"Kinderspital Zürich";10809;10781;10185;-5.52824413319729
"Klinik Lengg";14916;15025;15544;3.45424292845258
"Total Kanton Zürich";115909;118996;121946;2.4790749268883
"RehaClinic Zurzach";74095;76315;;2.99615358661178
"RehaClinic Baden";14505;21357;;47.2388831437435
"Rehaklinik Bellikon";57279;59812;;4.42221407496639
"aarReha Schinznach";33171;34197;;3.09306321787104
"Reha Rheinfelden";62332;64215;;3.02092023358789
"Klinik Gais";23861;23149;;-2.98394870290432
"Rheinburg-Klinik";20701;22976;;10.9898072556881
"REHAB Basel";31781;32505;;2.27809068311255
"Zürcher RehaZentrum Davos";33287;34891;;4.81869799020638
"Reha Seewis";18772;15674;;-16.5033027913914
"Kliniken Valens, Rehazentrum Valens";72546;75083;;3.49709150056516
"Rehaklinik Dussnang";32496;35012;;7.74249138355489
"Rehaklinik Zihlschlacht";48848;49096;;0.507697346871927
