"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentren";40.26;164.921;80.657;70.758;107.558;11.99;476.144
"RehaClinic Zollikerberg";2.2;17.89;13.709;4.09;7.38;1.72;46.989
"RehaClinic Kilchberg";7.15;25.25;21.05;2;6.32;0;61.77
"RehaClinic Limmattal";2.35;13.02;6.46;1.58;3.21;0;26.62
"in %";0.0849681859880986;0.361525241078422;0.199299126933901;0.128250286579573;0.203537724664485;0.0224194347555202;1
"Total Kanton Zürich";51.96;221.081;121.876;78.428;124.468;13.71;611.523
"RehaClinic Zurzach";31.89;127.81;99.276;24.102;55.028;2.1;340.206
"RehaClinic Baden";9.19;30.24;16.926;4.97;19.59;0;80.916
"Rehaklinik Bellikon";40.672;129.29;133.108;78.676;81.542;17.52;480.808
"aarReha Schinznach";18.736;80.919;46.256;32.05;42.456;3.82;224.237
"Reha Rheinfelden";22.786;156.65;139.558;63.524;72.876;18.1;473.494
"Klinik Gais";20.08;26.76;39.102;29.116;46.724;0;161.782
"Rheinburg-Klinik";8.18;54.59;29.681;17.71;29.15;2.45;141.761
"REHAB Basel";28.79;176.869;88.325;60.58;44.3;9.118;407.982
"Rehaklinik Seewis";5.21;16.012;10.358;8.57;26.838;1.52;68.508
"Kliniken Valens, Rehazentrum Valens";39.714;178.71;110.015;74.272;95.272;16.76;514.743
"Rehaklinik Dussnang";8.21;57.665;27.744;13.188;67.252;2.87;176.929
"Rehaklinik Zihlschlacht";16.4;126.875;65.522;11.54;45.89;0;266.227
