"Spitalname";"0-19";"in %";"20-39";"in %";"40-64";"in %";"65-79";"in %";"80+";"in %";"Total"
"Zürcher RehaZentrum Wald";0;0;39;1.85185185185185;627;29.7720797720798;964;45.7739791073124;476;22.6020892687559;2106
"RehaClinic Zollikerberg";1;0.182149362477231;1;0.182149362477231;69;12.568306010929;264;48.0874316939891;214;38.9799635701275;549
"RehaClinic Kilchberg";0;0;4;1.41843971631206;55;19.5035460992908;124;43.9716312056738;99;35.1063829787234;282
"RehaClinic Limmattal";2;1.38888888888889;51;35.4166666666667;75;52.0833333333333;11;7.63888888888889;5;3.47222222222222;144
"Universitätsklinik Balgrist";5;1.56739811912226;49;15.3605015673981;114;35.7366771159875;106;33.2288401253918;45;14.1065830721003;319
"Klinik Susenberg";1;0.377358490566038;2;0.754716981132076;56;21.1320754716981;112;42.2641509433962;94;35.4716981132075;265
"Kinderspital Zürich";193;100;0;0;0;0;0;0;0;0;193
"Klinik Lengg";1;0.193050193050193;21;4.05405405405405;155;29.9227799227799;221;42.6640926640927;120;23.1660231660232;518
"Total Kanton Zürich";203;4.63893967093236;167;3.81627056672761;1151;26.3025594149909;1802;41.1791590493601;1053;24.063071297989;4376
"RehaClinic Zurzach";20;0.716589036187746;162;5.80437119312074;843;30.2042278753135;1077;38.5883195987101;689;24.6864922966679;2791
"RehaClinic Baden";0;0;7;1.19250425894378;106;18.0579216354344;245;41.7376490630324;229;39.0119250425894;587
"Rehaklinik Bellikon";46;2.90037831021438;425;26.796973518285;920;58.0075662042875;165;10.4035308953342;30;1.89155107187894;1586
"aarReha Schinznach";2;0.143575017946877;47;3.37401292175162;305;21.8951902368988;505;36.2526920315865;534;38.3345297918162;1393
"Reha Rheinfelden";4;0.170430336599915;102;4.34597358329783;685;29.1861951427354;953;40.6050276949297;603;25.6923732424372;2347
"Klinik Gais";2;0.174978127734033;40;3.49956255468067;509;44.5319335083115;471;41.2073490813648;121;10.586176727909;1143
"Rheinburg-Klinik";1;0.12987012987013;21;2.72727272727273;199;25.8441558441558;343;44.5454545454545;206;26.7532467532467;770
"REHAB Basel";21;4.19161676646707;116;23.1536926147705;209;41.7165668662675;138;27.5449101796407;17;3.39321357285429;501
"Zürcher RehaZentrum Davos";7;0.50071530758226;133;9.51359084406295;667;47.7110157367668;426;30.4721030042918;165;11.8025751072961;1398
"Rehaklinik Seewis";1;0.137551581843191;35;4.81430536451169;285;39.2022008253095;303;41.6781292984869;103;14.1678129298487;727
"Kliniken Valens, Rehazentrum Valens";18;0.997229916897507;193;10.6925207756233;809;44.819944598338;590;32.6869806094183;195;10.803324099723;1805
"Rehaklinik Dussnang";0;0;6;0.313643491897543;248;12.9639309984318;831;43.4396236278097;828;43.2828018818609;1913
"Rehaklinik Zihlschlacht";3;0.262008733624454;70;6.11353711790393;378;33.0131004366812;509;44.4541484716157;185;16.1572052401747;1145
